# eta[dimensionless] P[GPa]
1.349415126101023432e+00 4.047787053612509345e-01
1.360297428338797410e+00 4.389054070743028668e-01
1.526023480785485775e+00 4.884646346634590186e-01
1.594483847577395474e+00 6.083510846641695391e-01
1.665529000294104778e+00 7.547531664223188219e-01
1.702954937300399152e+00 8.561012462028417813e-01
1.736838231017231893e+00 9.583963988761041719e-01
1.772619048320772439e+00 1.072655537734195086e+00
1.810275680478071747e+00 1.201773034749380908e+00
1.849480116795044760e+00 1.346199249284754762e+00
1.889007020153739891e+00 1.496271258209075805e+00
2.006855655839435482e+00 2.184241968256879218e+00
1.995745474855496360e+00 2.051571832984004473e+00
2.034068989704182595e+00 2.256060088280469333e+00
2.076162053382447858e+00 2.508312111338439010e+00
2.119757943355549568e+00 2.790041517858463660e+00
2.161015082695373124e+00 3.086887666615723891e+00
2.199746313771452133e+00 3.399554681529472600e+00
2.235912245058677694e+00 3.728592931488850404e+00
2.270129881495515090e+00 4.078494359466101393e+00
2.303381224314148934e+00 4.456411094881270962e+00
2.254248269176692965e+00 4.727556211070250036e+00
2.359959146303769462e+00 5.546111378501557887e+00
2.471939583905411020e+00 6.504217124069605838e+00
2.592902654118091732e+00 7.618694747590568639e+00
2.729011683257628551e+00 8.954483892381153609e+00
2.882922474868882201e+00 1.053763794008744981e+01
2.917846110715638819e+00 1.124621072354752904e+01
2.974693193698134674e+00 1.214374665857482150e+01
3.056298472740378802e+00 1.326694067102015850e+01
3.202003740376927698e+00 1.498815910263232709e+01
3.410790026057087587e+00 1.739384617153974943e+01
3.619690823127365675e+00 1.996900180570150951e+01
3.815866718509170141e+00 2.266527528170776762e+01
3.988187532250814460e+00 2.543731046555722486e+01
4.131601203622389029e+00 2.827379292534078559e+01
4.237802578490295957e+00 3.123153938671518048e+01
4.314498497816719791e+00 3.434720170755572610e+01
4.368183514722153049e+00 3.768453317448241080e+01
4.401497577749925227e+00 4.131206487551521178e+01
4.420617826967056629e+00 4.530455769145857658e+01
4.426769457315109513e+00 4.974767351587058073e+01
4.423527307564207867e+00 5.473271594604751300e+01
4.414416152273631155e+00 6.035940186868999291e+01
4.401904670234179306e+00 6.674067884976547305e+01
4.387085441242576600e+00 7.400869260487989720e+01
4.370628385516630132e+00 8.231592155715652837e+01
4.352924177665253858e+00 9.183453688482525479e+01
4.334354979227333260e+00 1.027722698264817041e+02
4.315124671293967928e+00 1.153674163286344481e+02
4.295672976580325653e+00 1.298823443920698821e+02
4.276532943216084348e+00 1.465997273695130616e+02
4.258388763503641705e+00 1.658433464111273850e+02
4.242085372336955373e+00 1.879520201718388535e+02
4.227830785748078135e+00 2.132798256832601567e+02
4.215368576823665947e+00 2.422326545200928365e+02
4.206157790620109971e+00 2.752028490510023175e+02
4.203034439239845099e+00 3.125951970686065806e+02
4.206486430695092871e+00 3.549293160320756897e+02
4.211334386798381679e+00 4.029203751766069104e+02
4.205600519214519828e+00 4.576288060223334924e+02
4.336656570951676670e+00 5.311326779182935525e+02
4.316036354079948900e+00 6.070554483981193243e+02
4.297326097137551315e+00 6.933503004267688539e+02
4.280071351565336357e+00 7.912730786903244962e+02
4.264133249848263141e+00 9.021517279542057395e+02
4.249120233571301419e+00 1.027443259129506259e+03
4.235019040297378190e+00 1.168778199937243926e+03
4.221483404782277127e+00 1.327906324815216522e+03
4.208552826150656401e+00 1.506829931192569575e+03
4.196143031776559340e+00 1.707787864842460522e+03
4.184191450330274620e+00 1.933212910793952915e+03
4.172590315678941231e+00 2.185942292280126821e+03
4.161563835718602000e+00 2.469118253292532700e+03
4.150929060031655737e+00 2.786311344575758085e+03
4.140683261468627308e+00 3.141392256210006053e+03
4.130917175670437480e+00 3.538904441855658661e+03
4.121643792926058758e+00 3.983923095209311214e+03
4.112721341657753271e+00 4.481939680585166570e+03
4.104244064092426036e+00 5.039547461854739595e+03
4.096389486245637812e+00 5.663974535476175333e+03
4.088849839647793694e+00 6.362967900915727114e+03
4.081787998883643631e+00 7.145921205341019231e+03
4.075181235142864011e+00 8.023105026195587925e+03
4.069058909619418962e+00 9.005875932810118684e+03
4.063314731031166360e+00 1.010716905097068957e+04
4.058065570269772770e+00 1.134159981565670932e+04
4.053169551302962859e+00 1.272505170568279027e+04
4.048655707497849754e+00 1.427620240005177220e+04
4.044495532055904619e+00 1.601521649129768412e+04
4.040650406295387853e+00 1.796535999616265326e+04
4.037248601424242800e+00 2.015282555266788040e+04
4.033968740872568404e+00 2.260533485360533814e+04
4.031145050858306433e+00 2.535681047241599299e+04
4.028652672726601658e+00 2.844370990145422547e+04
4.026284577715554924e+00 3.190517167600158791e+04
4.024196625654639092e+00 3.578930955631136749e+04
4.022388246300719672e+00 4.014722404751421709e+04
4.020770349765648177e+00 4.503611020865350292e+04
4.019380572839029497e+00 5.052170733912653668e+04
4.018130316988011153e+00 5.667648845065884962e+04
4.017069236912039543e+00 6.358259616719877522e+04
4.016236233423509105e+00 7.133262524116964778e+04
4.015641439816342029e+00 8.002888269635506731e+04
4.015106117174354061e+00 8.978959445928073546e+04
4.014779210165852597e+00 1.007436731389876368e+05
4.014620624423693940e+00 1.130370008549470804e+05
4.014670219196690759e+00 1.268349283638607303e+05
4.014829139337546593e+00 1.423223749618967122e+05
4.015176326771435988e+00 1.597058177380019333e+05
4.015712004660493939e+00 1.792209081390340289e+05
4.016406577007419543e+00 2.011285785553589230e+05
4.017309719752471864e+00 2.257259192111706943e+05
4.018441048863858001e+00 2.533399708683606004e+05
4.019742513229761727e+00 2.843507314429007820e+05
