# eta[dimensionless] P[GPa]
3.474098099344002488e+00 1.239183569321476419e+01
3.525350660946947379e+00 1.375304954645075384e+01
3.631322747535694173e+00 1.700374072959241545e+01
3.804232425788756977e+00 2.370842286631911122e+01
3.885328644620655858e+00 2.675892851696936958e+01
4.005554979524252879e+00 3.058401533146284734e+01
4.148019738315868565e+00 3.526867626843515779e+01
4.531452935243302171e+00 4.838620039051767208e+01
4.784027520529273936e+00 5.761121256514924482e+01
5.083495376842730451e+00 7.889295396144112260e+01
5.148682750950154485e+00 9.122156146275135313e+01
5.224597067009382201e+00 1.218180900731751279e+02
5.257938039272477049e+00 1.410971459432456641e+02
5.283516761369511983e+00 1.633055860038100775e+02
5.309034873379620656e+00 3.834524151517011887e+02
5.069440026261643695e+00 6.658595966131741761e+02
4.733397702909463156e+00 1.534765742755185101e+03
4.691323726914513159e+00 1.752647676100381204e+03
4.532091509725010070e+00 2.537010658481869086e+03
4.486245594357373356e+00 2.865890614222099885e+03
3.897548947008311337e+00 3.659717584317430010e+03
3.913201715761731592e+00 4.141940989252110739e+03
3.334469206733328139e+00 1.480580462655350883e-03
2.205295941529926917e+00 2.549718710058482829e-01
3.474098099344002488e+00 1.239183569321476419e+01
3.525350660946947379e+00 1.375304954645075384e+01
3.631322747535694173e+00 1.700374072959241545e+01
3.804232425788756977e+00 2.370842286631911122e+01
3.885328644620655858e+00 2.675892851696936958e+01
4.005554979524252879e+00 3.058401533146284734e+01
4.148019738315868565e+00 3.526867626843515779e+01
4.531452935243302171e+00 4.838620039051767208e+01
4.784027520529273936e+00 5.761121256514924482e+01
5.083495376842730451e+00 7.889295396144112260e+01
5.148682750950154485e+00 9.122156146275135313e+01
5.224597067009382201e+00 1.218180900731751279e+02
5.257938039272477049e+00 1.410971459432456641e+02
5.069440026261643695e+00 6.658595966131741761e+02
4.733397702909463156e+00 1.534765742755185101e+03
4.691323726914513159e+00 1.752647676100381204e+03
4.532091509725010070e+00 2.537010658481869086e+03
4.486245594357373356e+00 2.865890614222099885e+03
3.897548947008311337e+00 3.659717584317430010e+03
3.913201715761731592e+00 4.141940989252110739e+03
3.334469206733328139e+00 1.480580462655350883e-03
2.205295941529926917e+00 2.549718710058482829e-01
2.198221537478944221e+00 4.160157274668871419e-01
3.282764718662412040e+00 8.252287574179044682e+00
3.474098099344002488e+00 1.239183569321476419e+01
3.525350660946947379e+00 1.375304954645075384e+01
3.631322747535694173e+00 1.700374072959241545e+01
3.804232425788756977e+00 2.370842286631911122e+01
3.885328644620655858e+00 2.675892851696936958e+01
4.005554979524252879e+00 3.058401533146284734e+01
4.148019738315868565e+00 3.526867626843515779e+01
4.531452935243302171e+00 4.838620039051767208e+01
4.784027520529273936e+00 5.761121256514924482e+01
5.083495376842730451e+00 7.889295396144112260e+01
5.148682750950154485e+00 9.122156146275135313e+01
5.224597067009382201e+00 1.218180900731751279e+02
5.257938039272477049e+00 1.410971459432456641e+02
5.283516761369511983e+00 1.633055860038100775e+02
5.298169798987339085e+00 1.886227639684944108e+02
4.733397702909463156e+00 1.534765742755185101e+03
4.691323726914513159e+00 1.752647676100381204e+03
4.532091509725010070e+00 2.537010658481869086e+03
4.486245594357373356e+00 2.865890614222099885e+03
3.897548947008311337e+00 3.659717584317430010e+03
3.913201715761731592e+00 4.141940989252110739e+03
3.334469206733328139e+00 1.480580462655350883e-03
2.205295941529926917e+00 2.549718710058482829e-01
2.198221537478944221e+00 4.160157274668871419e-01
2.156493883989130111e+00 4.404033158706340823e-01
3.282764718662412040e+00 8.252287574179044682e+00
3.474098099344002488e+00 1.239183569321476419e+01
3.525350660946947379e+00 1.375304954645075384e+01
3.631322747535694173e+00 1.700374072959241545e+01
3.804232425788756977e+00 2.370842286631911122e+01
3.885328644620655858e+00 2.675892851696936958e+01
4.005554979524252879e+00 3.058401533146284734e+01
4.148019738315868565e+00 3.526867626843515779e+01
4.531452935243302171e+00 4.838620039051767208e+01
4.784027520529273936e+00 5.761121256514924482e+01
5.083495376842730451e+00 7.889295396144112260e+01
5.148682750950154485e+00 9.122156146275135313e+01
5.224597067009382201e+00 1.218180900731751279e+02
5.257938039272477049e+00 1.410971459432456641e+02
5.283516761369511983e+00 1.633055860038100775e+02
5.309034873379620656e+00 3.834524151517011887e+02
4.532091509725010070e+00 2.537010658481869086e+03
4.486245594357373356e+00 2.865890614222099885e+03
3.897548947008311337e+00 3.659717584317430010e+03
3.913201715761731592e+00 4.141940989252110739e+03
3.334469206733328139e+00 1.480580462655350883e-03
2.205295941529926917e+00 2.549718710058482829e-01
2.198221537478944221e+00 4.160157274668871419e-01
2.156493883989130111e+00 4.404033158706340823e-01
2.146408351846462281e+00 4.311046349032328084e-01
3.474098099344002488e+00 1.239183569321476419e+01
3.525350660946947379e+00 1.375304954645075384e+01
3.631322747535694173e+00 1.700374072959241545e+01
3.747175979325667150e+00 2.118645456311854147e+01
3.804232425788756977e+00 2.370842286631911122e+01
3.885328644620655858e+00 2.675892851696936958e+01
4.005554979524252879e+00 3.058401533146284734e+01
4.148019738315868565e+00 3.526867626843515779e+01
4.531452935243302171e+00 4.838620039051767208e+01
4.784027520529273936e+00 5.761121256514924482e+01
5.083495376842730451e+00 7.889295396144112260e+01
5.148682750950154485e+00 9.122156146275135313e+01
5.224597067009382201e+00 1.218180900731751279e+02
5.257938039272477049e+00 1.410971459432456641e+02
5.283516761369511983e+00 1.633055860038100775e+02
5.309034873379620656e+00 3.834524151517011887e+02
5.069440026261643695e+00 6.658595966131741761e+02
3.897548947008311337e+00 3.659717584317430010e+03
3.913201715761731592e+00 4.141940989252110739e+03
3.334469206733328139e+00 1.480580462655350883e-03
2.205295941529926917e+00 2.549718710058482829e-01
2.198221537478944221e+00 4.160157274668871419e-01
2.156493883989130111e+00 4.404033158706340823e-01
2.146408351846462281e+00 4.311046349032328084e-01
2.177120629307027322e+00 4.633382848436738422e-01
3.474098099344002488e+00 1.239183569321476419e+01
3.525350660946947379e+00 1.375304954645075384e+01
3.631322747535694173e+00 1.700374072959241545e+01
3.689762634404136765e+00 1.896787738335762086e+01
3.747175979325667150e+00 2.118645456311854147e+01
3.804232425788756977e+00 2.370842286631911122e+01
3.885328644620655858e+00 2.675892851696936958e+01
4.005554979524252879e+00 3.058401533146284734e+01
4.148019738315868565e+00 3.526867626843515779e+01
4.531452935243302171e+00 4.838620039051767208e+01
4.784027520529273936e+00 5.761121256514924482e+01
5.083495376842730451e+00 7.889295396144112260e+01
5.148682750950154485e+00 9.122156146275135313e+01
5.224597067009382201e+00 1.218180900731751279e+02
5.257938039272477049e+00 1.410971459432456641e+02
5.283516761369511983e+00 1.633055860038100775e+02
5.309034873379620656e+00 3.834524151517011887e+02
5.069440026261643695e+00 6.658595966131741761e+02
3.897548947008311337e+00 3.659717584317430010e+03
3.913201715761731592e+00 4.141940989252110739e+03
3.334469206733328139e+00 1.480580462655350883e-03
2.205295941529926917e+00 2.549718710058482829e-01
2.198221537478944221e+00 4.160157274668871419e-01
2.156493883989130111e+00 4.404033158706340823e-01
2.146408351846462281e+00 4.311046349032328084e-01
2.177120629307027322e+00 4.633382848436738422e-01
2.228740196220388103e+00 5.252643895760510384e-01
3.474098099344002488e+00 1.239183569321476419e+01
3.525350660946947379e+00 1.375304954645075384e+01
3.631322747535694173e+00 1.700374072959241545e+01
3.689762634404136765e+00 1.896787738335762086e+01
3.747175979325667150e+00 2.118645456311854147e+01
3.804232425788756977e+00 2.370842286631911122e+01
3.885328644620655858e+00 2.675892851696936958e+01
4.005554979524252879e+00 3.058401533146284734e+01
4.148019738315868565e+00 3.526867626843515779e+01
4.531452935243302171e+00 4.838620039051767208e+01
4.784027520529273936e+00 5.761121256514924482e+01
4.971443254642113452e+00 6.784482873508744660e+01
5.083495376842730451e+00 7.889295396144112260e+01
5.148682750950154485e+00 9.122156146275135313e+01
5.224597067009382201e+00 1.218180900731751279e+02
5.257938039272477049e+00 1.410971459432456641e+02
5.309034873379620656e+00 3.834524151517011887e+02
5.069440026261643695e+00 6.658595966131741761e+02
4.733397702909463156e+00 1.534765742755185101e+03
4.691323726914513159e+00 1.752647676100381204e+03
3.897548947008311337e+00 3.659717584317430010e+03
3.913201715761731592e+00 4.141940989252110739e+03
3.334469206733328139e+00 1.480580462655350883e-03
2.205295941529926917e+00 2.549718710058482829e-01
2.198221537478944221e+00 4.160157274668871419e-01
2.156493883989095028e+00 4.404033158706161522e-01
2.146408351846462281e+00 4.311046349032328084e-01
2.177120629307027322e+00 4.633382848436738422e-01
2.228740196220388103e+00 5.252643895760510384e-01
2.259855492799821786e+00 5.757252351633044274e-01
3.282764718662412040e+00 8.252287574179044682e+00
3.474098099344002488e+00 1.239183569321476419e+01
3.525350660946947379e+00 1.375304954645075384e+01
3.631322747535694173e+00 1.700374072959241545e+01
3.689762634404136765e+00 1.896787738335762086e+01
3.747175979325667150e+00 2.118645456311854147e+01
3.804232425788756977e+00 2.370842286631911122e+01
3.885328644620655858e+00 2.675892851696936958e+01
4.005554979524252879e+00 3.058401533146284734e+01
4.148019738315868565e+00 3.526867626843515779e+01
4.531452935243302171e+00 4.838620039051767208e+01
4.784027520529273936e+00 5.761121256514924482e+01
4.971443254642113452e+00 6.784482873508744660e+01
5.083495376842730451e+00 7.889295396144112260e+01
5.148682750950154485e+00 9.122156146275135313e+01
5.224597067009382201e+00 1.218180900731751279e+02
5.257938039272477049e+00 1.410971459432456641e+02
5.283516761369511983e+00 1.633055860038100775e+02
5.298169798987339085e+00 1.886227639684944108e+02
5.310950452435110769e+00 2.177877634104285107e+02
4.733397702909463156e+00 1.534765742755185101e+03
4.691323726914513159e+00 1.752647676100381204e+03
4.532091509725010070e+00 2.537010658481869086e+03
4.486245594357373356e+00 2.865890614222099885e+03
3.897548947008311337e+00 3.659717584317430010e+03
3.913201715761731592e+00 4.141940989252110739e+03
3.334469206733328139e+00 1.480580462655350883e-03
2.205295941529926917e+00 2.549718710058482829e-01
2.198221537478944221e+00 4.160157274668871419e-01
2.156493883989130111e+00 4.404033158706340823e-01
2.146408351846462281e+00 4.311046349032328084e-01
2.177120629307027322e+00 4.633382848436738422e-01
2.228740196220395209e+00 5.252643895760553683e-01
2.259855492799821786e+00 5.757252351633044274e-01
2.278813045176009133e+00 6.192936204266746847e-01
3.474098099344002488e+00 1.239183569321476419e+01
3.525350660946947379e+00 1.375304954645075384e+01
3.631322747535694173e+00 1.700374072959241545e+01
3.689762634404136765e+00 1.896787738335762086e+01
3.747175979325667150e+00 2.118645456311854147e+01
3.804232425788756977e+00 2.370842286631911122e+01
3.885328644620655858e+00 2.675892851696936958e+01
4.005554979524252879e+00 3.058401533146284734e+01
4.148019738315868565e+00 3.526867626843515779e+01
4.531452935243302171e+00 4.838620039051767208e+01
4.784027520529273936e+00 5.761121256514924482e+01
4.971443254642113452e+00 6.784482873508744660e+01
5.083495376842730451e+00 7.889295396144112260e+01
5.148682750950154485e+00 9.122156146275135313e+01
5.224597067009382201e+00 1.218180900731751279e+02
5.257938039272477049e+00 1.410971459432456641e+02
5.283516761369511983e+00 1.633055860038100775e+02
5.298169798987339085e+00 1.886227639684944108e+02
4.733397702909463156e+00 1.534765742755185101e+03
4.691323726914513159e+00 1.752647676100381204e+03
4.532091509725010070e+00 2.537010658481869086e+03
4.486245594357373356e+00 2.865890614222099885e+03
3.897548947008311337e+00 3.659717584317430010e+03
3.913201715761731592e+00 4.141940989252110739e+03
3.334469206733328139e+00 1.480580462655350883e-03
2.205295941529926917e+00 2.549718710058482829e-01
2.198221537478944221e+00 4.160157274668871419e-01
2.156493883989130111e+00 4.404033158706340823e-01
2.146408351846462281e+00 4.311046349032328084e-01
2.177120629307027322e+00 4.633382848436738422e-01
2.228740196220388103e+00 5.252643895760510384e-01
2.259855492799821786e+00 5.757252351633044274e-01
2.278813045176009133e+00 6.192936204266746847e-01
2.307313013851703953e+00 6.753813185575385791e-01
3.474098099344002488e+00 1.239183569321476419e+01
3.525350660946947379e+00 1.375304954645075384e+01
3.631322747535694173e+00 1.700374072959241545e+01
3.689762634404136765e+00 1.896787738335762086e+01
3.747175979325667150e+00 2.118645456311854147e+01
3.804232425788756977e+00 2.370842286631911122e+01
3.885328644620655858e+00 2.675892851696936958e+01
4.005554979524252879e+00 3.058401533146284734e+01
4.148019738315868565e+00 3.526867626843515779e+01
4.531452935243302171e+00 4.838620039051767208e+01
4.784027520529273936e+00 5.761121256514924482e+01
4.971443254642113452e+00 6.784482873508744660e+01
5.083495376842730451e+00 7.889295396144112260e+01
5.148682750950154485e+00 9.122156146275135313e+01
5.224597067009382201e+00 1.218180900731751279e+02
5.257938039272477049e+00 1.410971459432456641e+02
5.283516761369511983e+00 1.633055860038100775e+02
5.309034873379620656e+00 3.834524151517011887e+02
5.262480110555599389e+00 4.401621202037491116e+02
4.691323726914513159e+00 1.752647676100381204e+03
4.532091509725010070e+00 2.537010658481869086e+03
4.486245594357373356e+00 2.865890614222099885e+03
3.897548947008311337e+00 3.659717584317430010e+03
3.913201715761731592e+00 4.141940989252110739e+03
3.334469206733328139e+00 1.480580462655350883e-03
2.205295941529926917e+00 2.549718710058482829e-01
2.198221537478944221e+00 4.160157274668871419e-01
2.156493883989130111e+00 4.404033158706340823e-01
2.146408351846462281e+00 4.311046349032328084e-01
2.177120629307027322e+00 4.633382848436738422e-01
2.228740196220388103e+00 5.252643895760510384e-01
2.259855492799821786e+00 5.757252351633044274e-01
2.278813045176009133e+00 6.192936204266746847e-01
2.307313013851703953e+00 6.753813185575385791e-01
2.340976184426347473e+00 7.419534395658611281e-01
3.474098099344002488e+00 1.239183569321476419e+01
3.525350660946947379e+00 1.375304954645075384e+01
3.631322747535694173e+00 1.700374072959241545e+01
3.689762634404136765e+00 1.896787738335762086e+01
3.747175979325667150e+00 2.118645456311854147e+01
3.804232425788756977e+00 2.370842286631911122e+01
3.885328644620655858e+00 2.675892851696936958e+01
4.005554979524252879e+00 3.058401533146284734e+01
4.148019738315868565e+00 3.526867626843515779e+01
4.531452935243302171e+00 4.838620039051767208e+01
4.784027520529273936e+00 5.761121256514924482e+01
4.971443254642113452e+00 6.784482873508744660e+01
5.083495376842730451e+00 7.889295396144112260e+01
5.148682750950154485e+00 9.122156146275135313e+01
5.224597067009382201e+00 1.218180900731751279e+02
5.257938039272477049e+00 1.410971459432456641e+02
5.283516761369511983e+00 1.633055860038100775e+02
5.309034873379620656e+00 3.834524151517011887e+02
5.069440026261643695e+00 6.658595966131741761e+02
4.532091509725010070e+00 2.537010658481869086e+03
4.486245594357373356e+00 2.865890614222099885e+03
3.897548947008311337e+00 3.659717584317430010e+03
3.913201715761731592e+00 4.141940989252110739e+03
3.334469206733328139e+00 1.480580462655350883e-03
2.205295941529926917e+00 2.549718710058482829e-01
2.198221537478944221e+00 4.160157274668871419e-01
2.156493883989130111e+00 4.404033158706340823e-01
2.146408351846462281e+00 4.311046349032328084e-01
