# eta[dimensionless] P[GPa]
3.333911868008816004e+00 1.480088518279387136e-03
3.025137726948219538e+08 4.684833390107840206e-10
2.183715424855419585e+00 4.094570899914498074e-01
2.154277564557138813e+00 4.398762037651913759e-01
2.148533303854923027e+00 4.326966966332310705e-01
2.178899830445454100e+00 4.648002234426470980e-01
2.228707355884976593e+00 5.256117417692909299e-01
2.259874340716911068e+00 5.759040691421229985e-01
2.278761472052061254e+00 6.192146765314455736e-01
2.307759547679819168e+00 6.757974052310095070e-01
2.341495944108348937e+00 7.427616379447434802e-01
2.373287430515224283e+00 8.143919454527903667e-01
2.404931800851510371e+00 8.926126279200161662e-01
2.437681852671294003e+00 9.796075908044895586e-01
2.471032627362831580e+00 1.075821168724780508e+00
2.504689296848794378e+00 1.181734770197562234e+00
2.538411807560872813e+00 1.298075059945530185e+00
2.572364083079271779e+00 1.426608947610755740e+00
2.607602145417006412e+00 1.570362831741388243e+00
2.643784416675516002e+00 1.729573313468469653e+00
2.680381422802196933e+00 1.905093500583714405e+00
2.716835945704360267e+00 2.097717612915891205e+00
2.753461110591225225e+00 2.309613298701403750e+00
2.790751953787080630e+00 2.543445458987473984e+00
2.828586493089192189e+00 2.801348360925761671e+00
2.866672792729533459e+00 3.085244581757836446e+00
2.905759792738487057e+00 3.402096074548525806e+00
2.945319017720468224e+00 3.752065030478652918e+00
2.985217521789511608e+00 4.137688256697651390e+00
3.025575777232877517e+00 4.562970020536954330e+00
3.066660127168983063e+00 5.032920219656264571e+00
3.108380356871795147e+00 5.552179924250022935e+00
3.150368763513959891e+00 6.125140691575477803e+00
3.192628757739427670e+00 6.757398202057077086e+00
3.236484699300392176e+00 7.462050959836743047e+00
3.282829385038028569e+00 8.253478050152208922e+00
3.329727879367847532e+00 9.131094463022110475e+00
3.376677145761814103e+00 1.010333515231151580e+01
3.424606877049952480e+00 1.118622148978226960e+01
3.474556529660957960e+00 1.239856205985603488e+01
3.525587653993479620e+00 1.375597101703874614e+01
3.576825910430802669e+00 1.527606390129932024e+01
3.630980175154238321e+00 1.699820872806891714e+01
3.689631862895180525e+00 1.896669245832021033e+01
3.747229983829095445e+00 2.118817263931049055e+01
3.804346418079172842e+00 2.371145488442229876e+01
3.885383593527302892e+00 2.676146118947190189e+01
4.005636209334395126e+00 3.058263351128153928e+01
4.147146796833946603e+00 3.526679399167922213e+01
4.306899084793627708e+00 4.096994523059278492e+01
4.532921637649458546e+00 4.839226785365450922e+01
4.782200620081066056e+00 5.760381273209952724e+01
4.971018272943297234e+00 6.784280034276837057e+01
5.083430459510774213e+00 7.889210933211241183e+01
5.148827913920769106e+00 9.122215526994932588e+01
5.190545415978154331e+00 1.053468144348427842e+02
5.224958306579027933e+00 1.218173383707954400e+02
5.258350545720613667e+00 1.410970255215817701e+02
5.283837113511720140e+00 1.633061772773371274e+02
5.298752154581483964e+00 1.886226006955380115e+02
5.311862454130109157e+00 2.177897872253373066e+02
5.327199117215257296e+00 2.515440862902308652e+02
5.336892049423145323e+00 2.901213004717145054e+02
5.333803186372848337e+00 3.337987772629639949e+02
5.310075614812052258e+00 3.834665590479635853e+02
5.263173493198681108e+00 4.401912744988620148e+02
5.203526822825893738e+00 5.052028219286494277e+02
5.139367194382288950e+00 5.798309742314546611e+02
5.070699730785721115e+00 6.658532162312426408e+02
5.000021327825391992e+00 7.652184768539202651e+02
4.934771082184091995e+00 8.805095618398785291e+02
4.877882169954083302e+00 1.013962283657430362e+03
4.826103777397490191e+00 1.166654193618031741e+03
4.777649769920579104e+00 1.339671853675864213e+03
4.733281947726390548e+00 1.534749942593733977e+03
4.690994292541269317e+00 1.752641440346228364e+03
4.642708165756318728e+00 1.990416256235327864e+03
4.586534664954405649e+00 2.247846652547692884e+03
4.532030386060250216e+00 2.536918412534859272e+03
4.486209516551013188e+00 2.865821278307031207e+03
3.857518138614861147e+00 2.843684335232172998e+03
3.879129994270450688e+00 3.228814621818150499e+03
3.897527905580857155e+00 3.659719239957906211e+03
3.913244384121346009e+00 4.141941907877465383e+03
3.926586279011946790e+00 4.681795260520270858e+03
3.937988948861477212e+00 5.286291924360762096e+03
3.947561371651176820e+00 5.963102548933972685e+03
3.955845680455138957e+00 6.721448277295806292e+03
3.962877523736281216e+00 7.570965799115889240e+03
3.968916879605865589e+00 8.523017928839801243e+03
3.974048061776660923e+00 9.590133491368833347e+03
3.978396847687074800e+00 1.078605572049513466e+04
3.982184075798629319e+00 1.212717485288112766e+04
3.985384511701972610e+00 1.363063401381638323e+04
3.988178101634957784e+00 1.531674983292770048e+04
3.990622070244810526e+00 1.720761513591264884e+04
3.992686254406279556e+00 1.932867293091504689e+04
3.994604658942373376e+00 2.170795901102808784e+04
3.996239918204273156e+00 2.437671572455334899e+04
3.997757035379216006e+00 2.737086780677911156e+04
3.999197126608466490e+00 3.073016254893681253e+04
4.000508803533949553e+00 3.449974767554998834e+04
4.001743565858598473e+00 3.872931923231330438e+04
4.002918311367880122e+00 4.347564837197395536e+04
4.004093511813548112e+00 4.880252974468932371e+04
4.005330458480608868e+00 5.478055775412342336e+04
4.006506771301789449e+00 6.148992340937202971e+04
4.007883746826338189e+00 6.902147573283078964e+04
4.009199784117488008e+00 7.747573606166521495e+04
4.010786569453122397e+00 8.696760902026032272e+04
4.012325842547519450e+00 9.762322546089021489e+04
4.014059872250489214e+00 1.095874454984990734e+05
4.016060004506377901e+00 1.230234939744674339e+05
4.018150144623792386e+00 1.381125419266503304e+05
4.020507937343120730e+00 1.550593222722744686e+05
4.023087639570081642e+00 1.740950611841805221e+05
4.026007389856003371e+00 1.954841387781294470e+05
4.029214210742172675e+00 2.195118334352470702e+05
4.032843402979417569e+00 2.465234949616263621e+05
4.036759841796300208e+00 2.768789060397155699e+05
4.041305088090883402e+00 3.110130378130972385e+05
3.333911868008815116e+00 1.480088518279381064e-03
2.955546046445904970e+08 4.685640289428735640e-10
2.183715424855419140e+00 4.094570899914498074e-01
2.154277564557143254e+00 4.398762037651949841e-01
2.148533303854923915e+00 4.326966966332310705e-01
2.178899830445454100e+00 4.648002234426470980e-01
2.228707355884970376e+00 5.256117417692888205e-01
2.259874340716924390e+00 5.759040691421323244e-01
2.278761472052059034e+00 6.192146765314455736e-01
2.307759547679580692e+00 6.757974052308491908e-01
2.341495944108345828e+00 7.427616379447403716e-01
2.373287430515224727e+00 8.143919454527903667e-01
2.404931800851510371e+00 8.926126279200161662e-01
2.437681852671286897e+00 9.796075908044815650e-01
2.471032627362832468e+00 1.075821168724780508e+00
2.504689296848795710e+00 1.181734770197562234e+00
2.538411807560872369e+00 1.298075059945530185e+00
2.572364083079276220e+00 1.426608947610755740e+00
2.607602145416996198e+00 1.570362831741381804e+00
2.643784416675516002e+00 1.729573313468469653e+00
2.680381422802187608e+00 1.905093500583706412e+00
2.716835945704360267e+00 2.097717612915891205e+00
2.753461110591224781e+00 2.309613298701403750e+00
2.790751953787072193e+00 2.543445458987463326e+00
2.828586493089193521e+00 2.801348360925761671e+00
2.866672792729532571e+00 3.085244581757836446e+00
2.905759792738487057e+00 3.402096074548525806e+00
2.945319017720468224e+00 3.752065030478652918e+00
2.985217521789518713e+00 4.137688256697651390e+00
3.025575777232877961e+00 4.562970020536954330e+00
3.066660127168983063e+00 5.032920219656264571e+00
3.108380356871804917e+00 5.552179924250069121e+00
3.150368763513961223e+00 6.125140691575477803e+00
3.192628757739427670e+00 6.757398202057077086e+00
3.236484699300391732e+00 7.462050959836743047e+00
3.282829385038036119e+00 8.253478050152208922e+00
3.329727879367847532e+00 9.131094463022110475e+00
3.376677145761815879e+00 1.010333515231155666e+01
3.424606877049950260e+00 1.118622148978226960e+01
3.474556529660957516e+00 1.239856205985603488e+01
3.525587653993479620e+00 1.375597101703874614e+01
3.576825910430799116e+00 1.527606390129932024e+01
3.630980175154224110e+00 1.699820872806884964e+01
3.689631862895180525e+00 1.896669245832021033e+01
3.747229983829091893e+00 2.118817263931040529e+01
3.804346418079174619e+00 2.371145488442229876e+01
3.885383593527302892e+00 2.676146118947190189e+01
4.005636209334393349e+00 3.058263351128153928e+01
4.147146796833959037e+00 3.526679399167922213e+01
4.306899084793635701e+00 4.096994523059295545e+01
4.532921637649343971e+00 4.839226785365312367e+01
4.782200620081079379e+00 5.760381273209975461e+01
4.971018272943290128e+00 6.784280034276837057e+01
5.083430459510780430e+00 7.889210933211241183e+01
5.148827913920771771e+00 9.122215526994932588e+01
5.190545415978149890e+00 1.053468144348423579e+02
5.224958306579019052e+00 1.218173383707954400e+02
5.258350545720618108e+00 1.410970255215817701e+02
5.283837113511714811e+00 1.633061772773371274e+02
5.298752154581483964e+00 1.886226006955380115e+02
5.311862454130108269e+00 2.177897872253373066e+02
5.327199117215267954e+00 2.515440862902308652e+02
5.336892049423146211e+00 2.901213004717145054e+02
5.333803186372842120e+00 3.337987772629626306e+02
5.310075614812057587e+00 3.834665590479635853e+02
5.263173493198667785e+00 4.401912744988620148e+02
5.203526822825893738e+00 5.052028219286494277e+02
5.139367194382289838e+00 5.798309742314546611e+02
5.070699730785720227e+00 6.658532162312426408e+02
5.000021327825389328e+00 7.652184768539202651e+02
4.934771082184093771e+00 8.805095618398785291e+02
4.877882169954083302e+00 1.013962283657430362e+03
4.826103777397494632e+00 1.166654193618026966e+03
4.777649769920581768e+00 1.339671853675864213e+03
4.733281947726372785e+00 1.534749942593721471e+03
4.690994292541268429e+00 1.752641440346221088e+03
4.642708165756332050e+00 1.990416256235327864e+03
4.586534664954380780e+00 2.247846652547683789e+03
4.532030386060242222e+00 2.536918412534848358e+03
4.486209516551025622e+00 2.865821278307031207e+03
3.857518138614874470e+00 2.843684335232184822e+03
3.879129994270451576e+00 3.228814621818150499e+03
3.897527905580857155e+00 3.659719239957906211e+03
3.913244384121333574e+00 4.141941907877465383e+03
3.926586279011963665e+00 4.681795260520290867e+03
3.937988948861482097e+00 5.286291924360783923e+03
3.947561371651180373e+00 5.963102548933998150e+03
3.955845680455148283e+00 6.721448277295806292e+03
3.962877523736288321e+00 7.570965799115889240e+03
3.968916879605863812e+00 8.523017928839835804e+03
3.974048061776643159e+00 9.590133491368793329e+03
3.978396847687070803e+00 1.078605572049508919e+04
3.982184075798640421e+00 1.212717485288117859e+04
3.985384511701974830e+00 1.363063401381638323e+04
3.988178101634954231e+00 1.531674983292770048e+04
3.990622070244796760e+00 1.720761513591257972e+04
3.992686254406283552e+00 1.932867293091504689e+04
3.994604658942368047e+00 2.170795901102817879e+04
3.996239918204267827e+00 2.437671572455324713e+04
3.997757035379214674e+00 2.737086780677911156e+04
3.999197126608465158e+00 3.073016254893681253e+04
4.000508803533948665e+00 3.449974767554998834e+04
4.001743565858605578e+00 3.872931923231346445e+04
4.002918311367880122e+00 4.347564837197395536e+04
4.004093511813549888e+00 4.880252974468932371e+04
4.005330458480598210e+00 5.478055775412342336e+04
4.006506771301792114e+00 6.148992340937227709e+04
4.007883746826343518e+00 6.902147573283078964e+04
4.009199784117486232e+00 7.747573606166553509e+04
4.010786569453127726e+00 8.696760902025995892e+04
4.012325842547508792e+00 9.762322546089021489e+04
4.014059872250482996e+00 1.095874454984990734e+05
4.016060004506378789e+00 1.230234939744674339e+05
4.018150144623794162e+00 1.381125419266503304e+05
4.020507937343123395e+00 1.550593222722744686e+05
4.023087639570078977e+00 1.740950611841805221e+05
4.026007389856004259e+00 1.954841387781294470e+05
4.029214210742176228e+00 2.195118334352470702e+05
4.032843402979408687e+00 2.465234949616263621e+05
4.036759841796308201e+00 2.768789060397155699e+05
4.041305088090888731e+00 3.110130378130972385e+05
3.333911868008811563e+00 1.480088518279383883e-03
2.960201836022281051e+08 4.685585712146203506e-10
