# eta[dimensionless] P[GPa]
2.497690657258132774e+00 9.074238956176191584e-01
2.527648109150301359e+00 9.921349998520214708e-01
2.558093136345148899e+00 1.085873288463649278e+00
2.589601043598761976e+00 1.191343530613157897e+00
2.621117267174766230e+00 1.307815036235566275e+00
2.653360298476884704e+00 1.437009571498146787e+00
2.686699476733063197e+00 1.580710836919510420e+00
2.720458547039391828e+00 1.739588401672034879e+00
2.753948531822064005e+00 1.914245898371255139e+00
2.787572286198723326e+00 2.106807315572754913e+00
2.821883138339002617e+00 2.319819478065206830e+00
2.856618826021644075e+00 2.555057852261092499e+00
2.891787311916873993e+00 2.816335375234055416e+00
2.927289185301064300e+00 3.106020342245601196e+00
2.962782260341481511e+00 3.424792254325705443e+00
2.998223397068485951e+00 3.775400894587004785e+00
3.033686868828571193e+00 4.161152603670903005e+00
3.069423786205874638e+00 4.586251774899150035e+00
3.105302694114821183e+00 5.054426540223082576e+00
3.140875319793265952e+00 5.568958730589954165e+00
3.176098544537263813e+00 6.134091029088306612e+00
3.212128599748742097e+00 6.758969983566528228e+00
3.250287804417645976e+00 7.457588323753021164e+00
3.288793670243522538e+00 8.230744315472007244e+00
3.326681224404556492e+00 9.081947449824328444e+00
3.365180729883387123e+00 1.002508533291206838e+01
3.404867268356541743e+00 1.107306177128314317e+01
3.445394493355590448e+00 1.223992011793183821e+01
3.486572447015603426e+00 1.354198364860279291e+01
3.627988660746203742e+00 1.854675912435155283e+01
3.677280991049760139e+00 2.067933284024659102e+01
3.757798123161362636e+00 2.329740603180126257e+01
3.889662909166626825e+00 2.666145260938042227e+01
4.053735621211046691e+00 3.087208251203725595e+01
4.242773270356631876e+00 3.609074514105231657e+01
4.514973072901357298e+00 4.304356241188249044e+01
4.805995370430101055e+00 5.167337243014217307e+01
5.017674234249388299e+00 6.115495895095136802e+01
5.139345565905633961e+00 7.130894353456075407e+01
5.209293926079846315e+00 8.263453666455068003e+01
5.254189647218449721e+00 9.564554471063716790e+01
5.291383547522197972e+00 1.108761906906743917e+02
5.327575772090106909e+00 1.287719845485491135e+02
5.355278605566721417e+00 1.494294595704230346e+02
5.371707893579642068e+00 1.730034392556802914e+02
5.386106255707139745e+00 2.002125512368547788e+02
5.402655177662229136e+00 2.317699192148895975e+02
5.413172555619088833e+00 2.678828075955437384e+02
5.410360380263160351e+00 3.088033645347871925e+02
5.386003852202767561e+00 3.554102602322113853e+02
5.337304603304146688e+00 4.087651952900308743e+02
5.275073206986220065e+00 4.700905616430657119e+02
5.207999259360475364e+00 5.407088711155361125e+02
5.137020331379162918e+00 6.223780576156647157e+02
5.062952992795346496e+00 7.170870086087530808e+02
4.993632576801096512e+00 8.274442087433445749e+02
4.933551995752541330e+00 9.556961833857756119e+02
4.878895705440550401e+00 1.102800027745407533e+03
4.827635775629377513e+00 1.269715903861190100e+03
4.781160294582393000e+00 1.458158914398732350e+03
4.737414436875313939e+00 1.668759269882887565e+03
4.686973540944998184e+00 1.898064365641981340e+03
4.627402903386656163e+00 2.145434757743368664e+03
4.569400184527434128e+00 2.423160088533719318e+03
4.520515985479191201e+00 2.739524103820231630e+03
3.829699488627758885e+00 2.685636483256259453e+03
3.858503659786274742e+00 3.056109717351422660e+03
3.883853460436031746e+00 3.471205007849382127e+03
3.906743891962645154e+00 3.936824893000892189e+03
3.927688322738166704e+00 4.459604018839648234e+03
3.947392277649865999e+00 5.047099017433887639e+03
3.966221699343969842e+00 5.707778594247050933e+03
3.985049797911953018e+00 6.452064851723473112e+03
4.004217687163112771e+00 7.291209980427591290e+03
4.024325799224494737e+00 8.238826823351242638e+03
2.468320880766862402e+00 8.311323202530344068e-01
2.497690657258130109e+00 9.074238956176191584e-01
2.527648109150301359e+00 9.921349998520214708e-01
2.558093136345147567e+00 1.085873288463649278e+00
2.589601043598760644e+00 1.191343530613157897e+00
2.621117267174765342e+00 1.307815036235566275e+00
2.653360298476890033e+00 1.437009571498146787e+00
2.686699476733068970e+00 1.580710836919517082e+00
2.720458547039392272e+00 1.739588401672034879e+00
2.753948531822072443e+00 1.914245898371255139e+00
2.787572286198723326e+00 2.106807315572754913e+00
2.821883138339002617e+00 2.319819478065206830e+00
2.856618826021638302e+00 2.555057852261081841e+00
2.891787311916863779e+00 2.816335375234043870e+00
2.927289185301062524e+00 3.106020342245601196e+00
2.962782260341482399e+00 3.424792254325705443e+00
2.998223397068477514e+00 3.775400894586973699e+00
3.033686868828564087e+00 4.161152603670903005e+00
3.069423786205874638e+00 4.586251774899150035e+00
3.105302694114810080e+00 5.054426540223061259e+00
3.140875319793239751e+00 5.568958730589908868e+00
3.176098544537266921e+00 6.134091029088306612e+00
3.212128599748748758e+00 6.758969983566528228e+00
3.250287804417646864e+00 7.457588323752990966e+00
3.288793670243521650e+00 8.230744315472007244e+00
3.326681224404555604e+00 9.081947449824328444e+00
3.365180729883383126e+00 1.002508533291206838e+01
3.404867268356534638e+00 1.107306177128305436e+01
3.677280991049760139e+00 2.067933284024659102e+01
3.757798123161361747e+00 2.329740603180126257e+01
3.889662909166626825e+00 2.666145260938042227e+01
4.053735621211046691e+00 3.087208251203725595e+01
4.242773270356631876e+00 3.609074514105231657e+01
4.514973072901354634e+00 4.304356241188249044e+01
4.805995370430117930e+00 5.167337243014237913e+01
5.017674234249391851e+00 6.115495895095136802e+01
5.139345565905623303e+00 7.130894353456075407e+01
5.209293926079851644e+00 8.263453666455068003e+01
5.254189647218449721e+00 9.564554471063716790e+01
5.291383547522191755e+00 1.108761906906739512e+02
5.327575772090103357e+00 1.287719845485491135e+02
5.355278605566716088e+00 1.494294595704230346e+02
5.371707893579645621e+00 1.730034392556788987e+02
5.386106255707141521e+00 2.002125512368539546e+02
5.402655177662229136e+00 2.317699192148895975e+02
5.413172555619101267e+00 2.678828075955448753e+02
5.410360380263170121e+00 3.088033645347871925e+02
5.386003852202773778e+00 3.554102602322113853e+02
5.337304603304148465e+00 4.087651952900308743e+02
5.275073206986228946e+00 4.700905616430677014e+02
5.207999259360463817e+00 5.407088711155383862e+02
5.137020331379174465e+00 6.223780576156672169e+02
5.062952992795345608e+00 7.170870086087530808e+02
4.993632576801100065e+00 8.274442087433411643e+02
4.933551995752528008e+00 9.556961833857756119e+02
4.878895705440553066e+00 1.102800027745407533e+03
4.827635775629372183e+00 1.269715903861190100e+03
4.781160294582392112e+00 1.458158914398732350e+03
4.737414436875319268e+00 1.668759269882894387e+03
4.686973540945007066e+00 1.898064365641981340e+03
4.627402903386656163e+00 2.145434757743368664e+03
4.569400184527447450e+00 2.423160088533719318e+03
4.520515985479203636e+00 2.739524103820231630e+03
3.829699488627746451e+00 2.685636483256248539e+03
3.858503659786273854e+00 3.056109717351422660e+03
3.883853460436031746e+00 3.471205007849382127e+03
3.906743891962644266e+00 3.936824893000892189e+03
3.927688322738165816e+00 4.459604018839648234e+03
3.947392277649865999e+00 5.047099017433887639e+03
3.966221699343982277e+00 5.707778594247074579e+03
3.985049797911950797e+00 6.452064851723473112e+03
4.004217687163227346e+00 7.291209980427800474e+03
4.024325799224495626e+00 8.238826823351242638e+03
2.439872913839143731e+00 7.627194253679746572e-01
2.468320880766853964e+00 8.311323202530276344e-01
2.497690657258135438e+00 9.074238956176228221e-01
2.527648109150301359e+00 9.921349998520214708e-01
2.558093136345147567e+00 1.085873288463649278e+00
2.589601043598760644e+00 1.191343530613157897e+00
2.621117267174765342e+00 1.307815036235566275e+00
2.653360298476892698e+00 1.437009571498146787e+00
2.686699476733068970e+00 1.580710836919517082e+00
2.720458547039399377e+00 1.739588401672042206e+00
2.753948531822064894e+00 1.914245898371255139e+00
2.787572286198716665e+00 2.106807315572746475e+00
2.821883138339002617e+00 2.319819478065206830e+00
2.856618826021635638e+00 2.555057852261081841e+00
2.891787311916863779e+00 2.816335375234043870e+00
2.927289185301062524e+00 3.106020342245601196e+00
2.962782260341481511e+00 3.424792254325705443e+00
2.998223397068498386e+00 3.775400894587035427e+00
3.033686868828564087e+00 4.161152603670903005e+00
3.069423786205874638e+00 4.586251774899150035e+00
3.105302694114810524e+00 5.054426540223061259e+00
3.140875319793267728e+00 5.568958730589954165e+00
3.176098544537270030e+00 6.134091029088331481e+00
3.212128599748746538e+00 6.758969983566528228e+00
3.250287804417645976e+00 7.457588323753021164e+00
3.288793670243521650e+00 8.230744315472007244e+00
3.326681224404554715e+00 9.081947449824328444e+00
3.365180729883384902e+00 1.002508533291206838e+01
3.677280991049757031e+00 2.067933284024667628e+01
3.757798123161359083e+00 2.329740603180126257e+01
3.889662909166625493e+00 2.666145260938042227e+01
4.053735621211039586e+00 3.087208251203725595e+01
4.242773270356623883e+00 3.609074514105231657e+01
4.514973072901357298e+00 4.304356241188249044e+01
4.805995370430106384e+00 5.167337243014217307e+01
5.017674234249382081e+00 6.115495895095136802e+01
5.139345565905623303e+00 7.130894353456075407e+01
5.209293926079846315e+00 8.263453666455068003e+01
5.254189647218449721e+00 9.564554471063716790e+01
5.291383547522200637e+00 1.108761906906743917e+02
5.327575772090103357e+00 1.287719845485491135e+02
5.355278605566711647e+00 1.494294595704230346e+02
5.371707893579639403e+00 1.730034392556802914e+02
5.386106255707137969e+00 2.002125512368547788e+02
5.402655177662228247e+00 2.317699192148895975e+02
5.413172555619091497e+00 2.678828075955448753e+02
5.410360380263171898e+00 3.088033645347884999e+02
5.386003852202769338e+00 3.554102602322113853e+02
5.337304603304148465e+00 4.087651952900308743e+02
5.275073206986219176e+00 4.700905616430657119e+02
5.207999259360477140e+00 5.407088711155361125e+02
5.137020331379174465e+00 6.223780576156672169e+02
5.062952992795343832e+00 7.170870086087530808e+02
4.993632576801087630e+00 8.274442087433411643e+02
4.933551995752528008e+00 9.556961833857756119e+02
4.878895705440545960e+00 1.102800027745407533e+03
4.827635775629377513e+00 1.269715903861190100e+03
4.781160294582396553e+00 1.458158914398732350e+03
4.737414436875313939e+00 1.668759269882894387e+03
4.686973540945007066e+00 1.898064365641981340e+03
4.627402903386648170e+00 2.145434757743368664e+03
4.569400184527439457e+00 2.423160088533719318e+03
4.520515985479197418e+00 2.739524103820231630e+03
3.829699488627750892e+00 2.685636483256259453e+03
3.858503659786273854e+00 3.056109717351422660e+03
3.883853460436033966e+00 3.471205007849382127e+03
3.906743891962644266e+00 3.936824893000892189e+03
3.927688322738166704e+00 4.459604018839648234e+03
3.947392277649866887e+00 5.047099017433887639e+03
3.966221699343982277e+00 5.707778594247074579e+03
3.985049797911958791e+00 6.452064851723473112e+03
4.004217687163227346e+00 7.291209980427800474e+03
4.024325799224495626e+00 8.238826823351242638e+03
4.045762611157028843e+00 9.310432496889681715e+03
2.439872913839143731e+00 7.627194253679746572e-01
2.468320880766862402e+00 8.311323202530344068e-01
2.497690657258135438e+00 9.074238956176228221e-01
2.527648109150301359e+00 9.921349998520214708e-01
2.558093136345150231e+00 1.085873288463649278e+00
2.589601043598758423e+00 1.191343530613153012e+00
2.621117267174765342e+00 1.307815036235566275e+00
2.653360298476890478e+00 1.437009571498146787e+00
2.686699476733068526e+00 1.580710836919517082e+00
2.720458547039393604e+00 1.739588401672034879e+00
2.753948531822070667e+00 1.914245898371255139e+00
2.787572286198723326e+00 2.106807315572754913e+00
2.821883138338999064e+00 2.319819478065206830e+00
2.856618826021636526e+00 2.555057852261081841e+00
2.891787311916866443e+00 2.816335375234043870e+00
2.927289185301060748e+00 3.106020342245601196e+00
2.962782260341482399e+00 3.424792254325705443e+00
2.998223397068498386e+00 3.775400894587035427e+00
3.033686868828561867e+00 4.161152603670903005e+00
3.069423786205873750e+00 4.586251774899150035e+00
3.105302694114821183e+00 5.054426540223082576e+00
3.140875319793267728e+00 5.568958730589954165e+00
3.176098544537265589e+00 6.134091029088306612e+00
3.212128599748742541e+00 6.758969983566528228e+00
3.250287804417638426e+00 7.457588323752990966e+00
3.288793670243530087e+00 8.230744315472007244e+00
3.326681224404555604e+00 9.081947449824328444e+00
3.677280991049757031e+00 2.067933284024667628e+01
3.757798123161363080e+00 2.329740603180126257e+01
3.889662909166625937e+00 2.666145260938042227e+01
4.053735621211041362e+00 3.087208251203725595e+01
4.242773270356614113e+00 3.609074514105231657e+01
4.514973072901357298e+00 4.304356241188249044e+01
4.805995370430102831e+00 5.167337243014217307e+01
5.017674234249391851e+00 6.115495895095136802e+01
5.139345565905633073e+00 7.130894353456075407e+01
5.209293926079846315e+00 8.263453666455068003e+01
5.254189647218455050e+00 9.564554471063716790e+01
5.291383547522183761e+00 1.108761906906739512e+02
5.327575772090108686e+00 1.287719845485491135e+02
5.355278605566718753e+00 1.494294595704230346e+02
5.371707893579649173e+00 1.730034392556802914e+02
5.386106255707141521e+00 2.002125512368547788e+02
5.402655177662228247e+00 2.317699192148895975e+02
5.413172555619085280e+00 2.678828075955437384e+02
5.410360380263170121e+00 3.088033645347871925e+02
5.386003852202770226e+00 3.554102602322113853e+02
5.337304603304149353e+00 4.087651952900308743e+02
5.275073206986240493e+00 4.700905616430677014e+02
5.207999259360465594e+00 5.407088711155383862e+02
5.137020331379178906e+00 6.223780576156672169e+02
5.062952992795344720e+00 7.170870086087530808e+02
4.993632576801094736e+00 8.274442087433445749e+02
4.933551995752545771e+00 9.556961833857756119e+02
4.878895705440545960e+00 1.102800027745407533e+03
4.827635775629373960e+00 1.269715903861190100e+03
4.781160294582396553e+00 1.458158914398732350e+03
4.737414436875311274e+00 1.668759269882894387e+03
4.686973540945001737e+00 1.898064365641981340e+03
4.627402903386654387e+00 2.145434757743368664e+03
4.569400184527439457e+00 2.423160088533719318e+03
4.520515985479198307e+00 2.739524103820231630e+03
3.829699488627750892e+00 2.685636483256259453e+03
3.858503659786276963e+00 3.056109717351422660e+03
3.883853460436036631e+00 3.471205007849396225e+03
3.906743891962645154e+00 3.936824893000892189e+03
3.927688322738166704e+00 4.459604018839648234e+03
3.947392277649867331e+00 5.047099017433887639e+03
3.966221699343980500e+00 5.707778594247050933e+03
3.985049797911954350e+00 6.452064851723473112e+03
4.004217687163206918e+00 7.291209980427770461e+03
4.024325799224488520e+00 8.238826823351242638e+03
4.045762611157038613e+00 9.310432496889681715e+03
2.411523251397415635e+00 7.003816598565798524e-01
2.439872913839143731e+00 7.627194253679746572e-01
2.468320880766865510e+00 8.311323202530344068e-01
2.497690657258130997e+00 9.074238956176191584e-01
2.527648109150301359e+00 9.921349998520214708e-01
2.558093136345148899e+00 1.085873288463649278e+00
2.589601043598758867e+00 1.191343530613157897e+00
2.621117267174759125e+00 1.307815036235560946e+00
2.653360298476884704e+00 1.437009571498146787e+00
2.686699476733068526e+00 1.580710836919517082e+00
2.720458547039391384e+00 1.739588401672034879e+00
2.753948531822070667e+00 1.914245898371255139e+00
2.787572286198714888e+00 2.106807315572746475e+00
2.821883138338999064e+00 2.319819478065206830e+00
2.856618826021644075e+00 2.555057852261092499e+00
2.891787311916862002e+00 2.816335375234043870e+00
2.927289185301066965e+00 3.106020342245614074e+00
2.962782260341482399e+00 3.424792254325705443e+00
2.998223397068496610e+00 3.775400894587020328e+00
3.033686868828558314e+00 4.161152603670886130e+00
3.069423786205872862e+00 4.586251774899150035e+00
3.105302694114810524e+00 5.054426540223061259e+00
3.140875319793266840e+00 5.568958730589954165e+00
3.176098544537272250e+00 6.134091029088331481e+00
3.212128599748742541e+00 6.758969983566528228e+00
