# eta[dimensionless] P[GPa]
1.679809687166122778e+00 7.205462751143708600e-01
1.786822434429291784e+00 9.247184542614617087e-01
1.845304736486327757e+00 1.086322628925856293e+00
1.867145389844447223e+00 1.218462133232776967e+00
1.863768619042205810e+00 1.327965425959371171e+00
1.865940024800194275e+00 1.480165666514788425e+00
1.950835400431895739e+00 1.832904067143467097e+00
2.108308909885419524e+00 2.364136533261470330e+00
2.153051740199149577e+00 2.544838233131136995e+00
2.171945086915878953e+00 2.670238835465681415e+00
2.221064850691075065e+00 2.935720217936224063e+00
2.271396426279071346e+00 3.224679630078535197e+00
2.314332879703207002e+00 3.515749783678587370e+00
2.356053443512596157e+00 3.858777817697947921e+00
2.412521295260325438e+00 4.403857917035237435e+00
2.415768902485345038e+00 4.906689798428526039e+00
2.289098061603933143e+00 4.888149123961804676e+00
2.063940079074917833e+00 4.244365063549838446e+00
1.915934245689246085e+00 3.889116783954211787e+00
1.893383922944805731e+00 4.173531126637482380e+00
1.961399304144531230e+00 4.977044351820012480e+00
2.181870783266347313e+00 6.726507359501667338e+00
2.469883879431470586e+00 9.056947715419328304e+00
2.694388154294109050e+00 1.110532369976297140e+01
2.895270949903673063e+00 1.307350520200632893e+01
3.118850338631119712e+00 1.532113183013016666e+01
3.352750139420314301e+00 1.779193638105499886e+01
3.573669107012320545e+00 2.041263672952645791e+01
3.771544378379515283e+00 2.311151296547980394e+01
3.934899272886131172e+00 2.588260339143351274e+01
4.069346344937845750e+00 2.873604402878986974e+01
4.176604497315922870e+00 3.175275663487830258e+01
4.258930447874103464e+00 3.502477962464976002e+01
4.321001702439671632e+00 3.857499691689112353e+01
4.370391568195613807e+00 4.255021840827777169e+01
4.417040906538939105e+00 4.716988920529853857e+01
4.454049573870046963e+00 5.237368307871241058e+01
4.474785429855802299e+00 5.807785499948106889e+01
4.486527534783905757e+00 6.446988715967310668e+01
4.495849889413654488e+00 7.177708257042976925e+01
4.505502806916820369e+00 8.019453607669841233e+01
4.517138987722111310e+00 8.992396544539900560e+01
4.531794353533356023e+00 1.011923057606393286e+02
4.550229881729817016e+00 1.142766848624735587e+02
4.572684926113765869e+00 1.294917554726927449e+02
4.599476364919738103e+00 1.472156052384736995e+02
4.632075983785856721e+00 1.679421220313641925e+02
4.659793226246646825e+00 1.916386278025077843e+02
4.598432197299848312e+00 2.142039503050483518e+02
4.394163429116274777e+00 2.313614871679624230e+02
4.199425693745078902e+00 2.505357882444220365e+02
4.125800298015627199e+00 2.800819030382765504e+02
4.112244066995246250e+00 3.181523241735616807e+02
