# eta[dimensionless] P[GPa]
2.067467597996800244e+00 5.803736697327214200e-01
2.075019636936346945e+00 6.216994198503161817e-01
2.106457268179392273e+00 6.873978647437073430e-01
2.136417689126849151e+00 7.605626771549128806e-01
2.156878859861318443e+00 8.316932115527866376e-01
2.174556842558954539e+00 9.067930052964069398e-01
2.194646383890423991e+00 9.918163670897941486e-01
2.218302135294200284e+00 1.088656741163154029e+00
2.245056153135987387e+00 1.197791402708977770e+00
2.273896518513163656e+00 1.319047005855408239e+00
2.302695700401049983e+00 1.452413620887996970e+00
2.329378281232614256e+00 1.596361748455823681e+00
2.355545803094753587e+00 1.754368385756428506e+00
2.384260050033473632e+00 1.932191223347451414e+00
2.415590062463687904e+00 2.131214913678386225e+00
2.446661861909992908e+00 2.349065518689043675e+00
2.476000140968151797e+00 2.585274816503182027e+00
2.506238289711932410e+00 2.844842704550003543e+00
2.540425796936967906e+00 3.135134308587348428e+00
2.577949525287863697e+00 3.462024402595687445e+00
2.616565616809072292e+00 3.828294614492040449e+00
2.653627868715343396e+00 4.229275255085703122e+00
2.686298586625990303e+00 4.655574619995584307e+00
2.717367675782522696e+00 5.112472147490956687e+00
2.755943213213473353e+00 5.631615416262181206e+00
2.804640487825791340e+00 6.232133258579626300e+00
2.852852555109262944e+00 6.891696549939910987e+00
2.891871309214365304e+00 7.597788903634108415e+00
2.928974100876132525e+00 8.384226580294502185e+00
2.974913446078641943e+00 9.287219282941961751e+00
3.028605363620811008e+00 1.030202617469533521e+01
3.081988404563242412e+00 1.141060724919017666e+01
3.134696826939881387e+00 1.263467160459576988e+01
3.192143355506994684e+00 1.401035749148605092e+01
3.258399400994002715e+00 1.555473428210730624e+01
3.337520750918088197e+00 1.729456805086629601e+01
3.434294315466804193e+00 1.928418597316656857e+01
3.548408507846534832e+00 2.153074980492665347e+01
3.684616888482278085e+00 2.403254620089725790e+01
3.888129019114424878e+00 2.707833360164035597e+01
4.211046657033095997e+00 3.119054261078373003e+01
4.580831035759191927e+00 3.626914654842392594e+01
4.863690203588781458e+00 4.187069369339201330e+01
5.120196172210361496e+00 4.838561989337398472e+01
5.303104128375182746e+00 5.651257074908624389e+01
5.417561648017334974e+00 6.631649564569168831e+01
5.453992187241069267e+00 7.758548619014187864e+01
5.443616040450922178e+00 9.036034824736394455e+01
5.419080364934015570e+00 1.048849178446259600e+02
5.401318096324882134e+00 1.216405200228923889e+02
5.394740842418455529e+00 1.412503037080963395e+02
5.388156424645521803e+00 1.640216819222947322e+02
5.371908968653410277e+00 1.900889840334554606e+02
5.345976607441487616e+00 2.199782763870903750e+02
5.309710368412202008e+00 2.544283609482741326e+02
5.260806091148761077e+00 2.939728490373547061e+02
5.203050514502055357e+00 3.393672909342844264e+02
5.139368349412750447e+00 3.921525248766735672e+02
5.056152245863620998e+00 4.550007804881462903e+02
4.940418486216221261e+00 5.311159986595615692e+02
4.790937409804853608e+00 6.209947662754958628e+02
4.631701586949266591e+00 7.197982523895633449e+02
4.513381945687328312e+00 8.234856611004697697e+02
4.450515130416130560e+00 9.375432923888566847e+02
4.418492349531758734e+00 1.068538408687035599e+03
4.405803613638155980e+00 1.216740448776231233e+03
4.404930593959401008e+00 1.383890891370615691e+03
4.406753894971275010e+00 1.577277127088998668e+03
4.416789870576095289e+00 1.803940298552633976e+03
4.424783141406535947e+00 2.049608875904776596e+03
4.488305081700306509e+00 2.339640819794495201e+03
5.153021910101527325e+00 3.040613009543960743e+03
6.183618880526376316e+00 4.090824281182004142e+03
5.772090207577775800e+00 4.282268287477832928e+03
4.486831274103786349e+00 3.752629433637409420e+03
3.940606869945732171e+00 3.724617813998760994e+03
3.912742089087564157e+00 4.169040618327986522e+03
3.928705058765188607e+00 4.715048574500072391e+03
3.939096233000129121e+00 5.322493630999567358e+03
3.947770066174925319e+00 6.003183442116609513e+03
3.955352460010089999e+00 6.765766046420585553e+03
3.962752380548419051e+00 7.620857159739259259e+03
3.969526609870604350e+00 8.579210807473456953e+03
3.974623679325450798e+00 9.652469864219769079e+03
3.978175761592011028e+00 1.085543045524453191e+04
3.981637175928544714e+00 1.220596338517147342e+04
3.984779093724431398e+00 1.372065935473886566e+04
3.986726799977537539e+00 1.541704986022151388e+04
3.988685222258572693e+00 1.731810921757316464e+04
3.991996684392197015e+00 1.945266727084569720e+04
3.995210858079361493e+00 2.184926909950976187e+04
3.996693389578255484e+00 2.453658546788139938e+04
3.998041083477890556e+00 2.754794921930979399e+04
3.999573656086365947e+00 3.092458941961424352e+04
4.000184943107822022e+00 3.471557255777998944e+04
4.000072874964957670e+00 3.896719455621032102e+04
4.000602065659666806e+00 4.374313739022538357e+04
4.002624715535807454e+00 4.911220034671847679e+04
4.004444771749374965e+00 5.512379095101720304e+04
4.005646976185590624e+00 6.186599779382867564e+04
4.006687707831621204e+00 6.944367970962113759e+04
4.006658354424378565e+00 7.793681724658109306e+04
4.007143288725373509e+00 8.746300861681468086e+04
4.008922424244513394e+00 9.817753343723033322e+04
4.010884532971115135e+00 1.102211285411235149e+05
4.012814886795371905e+00 1.237340766311673506e+05
4.014576883532292584e+00 1.388959584422464541e+05
4.016235419520242544e+00 1.559175736415135325e+05
4.014768438332496636e+00 1.748866496640139667e+05
4.016079241301453884e+00 2.202496906889249512e+05
2.067467597996796247e+00 5.803736697327214200e-01
2.075019636936348277e+00 6.216994198503186242e-01
2.106457268179392273e+00 6.873978647437073430e-01
2.136417689126849595e+00 7.605626771549128806e-01
2.156878859861318443e+00 8.316932115527866376e-01
2.174556842558954983e+00 9.067930052964069398e-01
2.194646383890423991e+00 9.918163670897941486e-01
2.218302135294200284e+00 1.088656741163154029e+00
2.245056153135989163e+00 1.197791402708977770e+00
2.273896518513165876e+00 1.319047005855413568e+00
2.302695700401049983e+00 1.452413620887996970e+00
2.329378281232614700e+00 1.596361748455823681e+00
2.355545803094753587e+00 1.754368385756428506e+00
2.384260050033473188e+00 1.932191223347451414e+00
2.415590062463688348e+00 2.131214913678386225e+00
2.446661861909992464e+00 2.349065518689043675e+00
2.476000140968151797e+00 2.585274816503182027e+00
2.506238289711925304e+00 2.844842704549980450e+00
2.540425796936967906e+00 3.135134308587348428e+00
2.577949525287858368e+00 3.462024402595687445e+00
2.616565616809072736e+00 3.828294614492025350e+00
2.653627868715342952e+00 4.229275255085703122e+00
2.686298586625990303e+00 4.655574619995584307e+00
2.717367675782522696e+00 5.112472147490956687e+00
2.755943213213466247e+00 5.631615416262158114e+00
2.804640487825791784e+00 6.232133258579626300e+00
2.852852555109251398e+00 6.891696549939882566e+00
2.891871309214359087e+00 7.597788903634108415e+00
2.928974100876124531e+00 8.384226580294502185e+00
2.974913446078641943e+00 9.287219282941961751e+00
3.028605363620794577e+00 1.030202617469529436e+01
3.081988404563241968e+00 1.141060724919017666e+01
3.134696826939874725e+00 1.263467160459571659e+01
3.192143355506991131e+00 1.401035749148605092e+01
3.258399400994003159e+00 1.555473428210737019e+01
3.337520750918075318e+00 1.729456805086629601e+01
3.434294315466808190e+00 1.928418597316656857e+01
3.548408507846523285e+00 2.153074980492656465e+01
3.684616888482286079e+00 2.403254620089725790e+01
3.888129019114420881e+00 2.707833360164035597e+01
4.211046657033090668e+00 3.119054261078373003e+01
4.580831035759206138e+00 3.626914654842407515e+01
4.863690203588777905e+00 4.187069369339201330e+01
5.120196172210355279e+00 4.838561989337398472e+01
5.303104128375183635e+00 5.651257074908624389e+01
5.417561648017334086e+00 6.631649564569168831e+01
5.453992187241068379e+00 7.758548619014187864e+01
5.443616040450923066e+00 9.036034824736394455e+01
5.419080364934014682e+00 1.048849178446259600e+02
5.401318096324885687e+00 1.216405200228923889e+02
5.394740842418456417e+00 1.412503037080957711e+02
5.388156424645519138e+00 1.640216819222947322e+02
5.371908968653419159e+00 1.900889840334562280e+02
5.345976607441480510e+00 2.199782763870903750e+02
5.309710368412195791e+00 2.544283609482741326e+02
5.260806091148760189e+00 2.939728490373547061e+02
5.203050514502062462e+00 3.393672909342830621e+02
5.139368349412758441e+00 3.921525248766751588e+02
5.056152245863633432e+00 4.550007804881462903e+02
4.940418486216211491e+00 5.311159986595615692e+02
4.790937409804849167e+00 6.209947662754958628e+02
4.631701586949267480e+00 7.197982523895633449e+02
4.513381945687313213e+00 8.234856611004697697e+02
4.450515130416131448e+00 9.375432923888566847e+02
4.418492349531741858e+00 1.068538408687035599e+03
4.405803613638144434e+00 1.216740448776231233e+03
4.404930593959390350e+00 1.383890891370615691e+03
4.406753894971290109e+00 1.577277127088998668e+03
4.416789870576095289e+00 1.803940298552633976e+03
4.424783141406534170e+00 2.049608875904776596e+03
4.488305081700298516e+00 2.339640819794486106e+03
5.153021910101507785e+00 3.040613009543948010e+03
6.183618880526367434e+00 4.090824281182004142e+03
5.772090207577791787e+00 4.282268287477832928e+03
4.486831274103805889e+00 3.752629433637424427e+03
3.940606869945727286e+00 3.724617813998760994e+03
3.912742089087565933e+00 4.169040618327986522e+03
3.928705058765193048e+00 4.715048574500091490e+03
3.939096233000118907e+00 5.322493630999567358e+03
3.947770066174920878e+00 6.003183442116584956e+03
3.955352460010089999e+00 6.765766046420585553e+03
3.962752380548415054e+00 7.620857159739259259e+03
3.969526609870604350e+00 8.579210807473456953e+03
3.974623679325446801e+00 9.652469864219769079e+03
3.978175761592013249e+00 1.085543045524453191e+04
3.981637175928545602e+00 1.220596338517152435e+04
3.984779093724430954e+00 1.372065935473886566e+04
3.986726799977541535e+00 1.541704986022151388e+04
3.988685222258567808e+00 1.731810921757316464e+04
3.991996684392197015e+00 1.945266727084569720e+04
3.995210858079372152e+00 2.184926909950976187e+04
3.996693389578254152e+00 2.453658546788139938e+04
3.998041083477890556e+00 2.754794921930979399e+04
3.999573656086365947e+00 3.092458941961424352e+04
4.000184943107826463e+00 3.471557255777998944e+04
4.000072874964944347e+00 3.896719455621016095e+04
4.000602065659675688e+00 4.374313739022556547e+04
4.002624715535809230e+00 4.911220034671867325e+04
4.004444771749376741e+00 5.512379095101720304e+04
4.005646976185593289e+00 6.186599779382867564e+04
4.006687707831626533e+00 6.944367970962113759e+04
4.006658354424377677e+00 7.793681724658109306e+04
4.007143288725366403e+00 8.746300861681468086e+04
4.008922424244502736e+00 9.817753343723033322e+04
4.010884532971107141e+00 1.102211285411230638e+05
4.012814886795371905e+00 1.237340766311673506e+05
4.014576883532311236e+00 1.388959584422470361e+05
4.016235419520242544e+00 1.559175736415135325e+05
4.014768438332497524e+00 1.748866496640139667e+05
4.016079241301453884e+00 2.202496906889249512e+05
2.067467597996796247e+00 5.803736697327214200e-01
2.075019636936346945e+00 6.216994198503161817e-01
2.106457268179392273e+00 6.873978647437073430e-01
2.136417689126849151e+00 7.605626771549128806e-01
2.156878859861318443e+00 8.316932115527866376e-01
2.174556842558951431e+00 9.067930052964033871e-01
2.194646383890423991e+00 9.918163670897941486e-01
2.218302135294200284e+00 1.088656741163154029e+00
2.245056153135989163e+00 1.197791402708977770e+00
2.273896518513166765e+00 1.319047005855413568e+00
2.302695700401052203e+00 1.452413620887996970e+00
2.329378281232616921e+00 1.596361748455823681e+00
2.355545803094754032e+00 1.754368385756428506e+00
2.384260050033471856e+00 1.932191223347451414e+00
2.415590062463682131e+00 2.131214913678368461e+00
2.446661861909988911e+00 2.349065518689043675e+00
2.476000140968150909e+00 2.585274816503182027e+00
2.506238289711925304e+00 2.844842704549980450e+00
2.540425796936967906e+00 3.135134308587348428e+00
2.577949525287857924e+00 3.462024402595687445e+00
2.616565616809073624e+00 3.828294614492040449e+00
2.653627868715343396e+00 4.229275255085703122e+00
2.686298586625990303e+00 4.655574619995584307e+00
2.717367675782522696e+00 5.112472147490956687e+00
2.755943213213473353e+00 5.631615416262181206e+00
2.804640487825791340e+00 6.232133258579626300e+00
2.852852555109257171e+00 6.891696549939910987e+00
2.891871309214365304e+00 7.597788903634108415e+00
2.928974100876133413e+00 8.384226580294535935e+00
2.974913446078641499e+00 9.287219282941961751e+00
3.028605363620811008e+00 1.030202617469533521e+01
3.081988404563241968e+00 1.141060724919017666e+01
3.134696826939883163e+00 1.263467160459576988e+01
3.192143355506994684e+00 1.401035749148605092e+01
3.258399400994003603e+00 1.555473428210737019e+01
3.337520750918069545e+00 1.729456805086622850e+01
3.434294315466806413e+00 1.928418597316656857e+01
3.548408507846529947e+00 2.153074980492656465e+01
3.684616888482278085e+00 2.403254620089725790e+01
3.888129019114438201e+00 2.707833360164046610e+01
4.211046657033090668e+00 3.119054261078373003e+01
4.580831035759191927e+00 3.626914654842407515e+01
4.863690203588777017e+00 4.187069369339201330e+01
5.120196172210374819e+00 4.838561989337418368e+01
5.303104128375180970e+00 5.651257074908624389e+01
5.417561648017339415e+00 6.631649564569168831e+01
5.453992187241069267e+00 7.758548619014187864e+01
5.443616040450924842e+00 9.036034824736394455e+01
5.419080364934013794e+00 1.048849178446259600e+02
5.401318096324890128e+00 1.216405200228928720e+02
5.394740842418455529e+00 1.412503037080963395e+02
5.388156424645519138e+00 1.640216819222947322e+02
5.371908968653423599e+00 1.900889840334562280e+02
5.345976607441477846e+00 2.199782763870903750e+02
5.309710368412190462e+00 2.544283609482741326e+02
5.260806091148767294e+00 2.939728490373547061e+02
5.203050514502062462e+00 3.393672909342830621e+02
5.139368349412744230e+00 3.921525248766735672e+02
5.056152245863628103e+00 4.550007804881462903e+02
4.940418486216222149e+00 5.311159986595615692e+02
4.790937409804848279e+00 6.209947662754958628e+02
4.631701586949263927e+00 7.197982523895633449e+02
4.513381945687336305e+00 8.234856611004731803e+02
4.450515130416135889e+00 9.375432923888566847e+02
4.418492349531754293e+00 1.068538408687035599e+03
4.405803613638152427e+00 1.216740448776231233e+03
4.404930593959409890e+00 1.383890891370615691e+03
4.406753894971275010e+00 1.577277127088998668e+03
4.416789870576095289e+00 1.803940298552633976e+03
4.424783141406560816e+00 2.049608875904793422e+03
4.488305081700294075e+00 2.339640819794486106e+03
5.153021910101510450e+00 3.040613009543948010e+03
6.183618880526363881e+00 4.090824281182004142e+03
5.772090207577771359e+00 4.282268287477832928e+03
4.486831274103805889e+00 3.752629433637424427e+03
3.940606869945731283e+00 3.724617813998760994e+03
3.912742089087564157e+00 4.169040618327986522e+03
3.928705058765193048e+00 4.715048574500091490e+03
3.939096233000110470e+00 5.322493630999546440e+03
3.947770066174919990e+00 6.003183442116609513e+03
3.955352460010089999e+00 6.765766046420585553e+03
3.962752380548416387e+00 7.620857159739259259e+03
3.969526609870604350e+00 8.579210807473456953e+03
3.974623679325492986e+00 9.652469864219849114e+03
3.978175761592015025e+00 1.085543045524453191e+04
3.981637175928545602e+00 1.220596338517152435e+04
3.984779093724422072e+00 1.372065935473886566e+04
3.986726799977537983e+00 1.541704986022151388e+04
3.988685222258572693e+00 1.731810921757316464e+04
3.991996684392197015e+00 1.945266727084569720e+04
3.995210858079372596e+00 2.184926909950976187e+04
3.996693389578264366e+00 2.453658546788139938e+04
3.998041083477869684e+00 2.754794921930968121e+04
3.999573656086365947e+00 3.092458941961424352e+04
4.000184943107830904e+00 3.471557255777998944e+04
4.000072874964951453e+00 3.896719455621032102e+04
4.000602065659669471e+00 4.374313739022538357e+04
4.002624715535809230e+00 4.911220034671867325e+04
4.004444771749374965e+00 5.512379095101720304e+04
4.005646976185593289e+00 6.186599779382867564e+04
4.006687707831620315e+00 6.944367970962113759e+04
4.006658354424377677e+00 7.793681724658109306e+04
4.007143288725385943e+00 8.746300861681468086e+04
4.008922424244502736e+00 9.817753343723033322e+04
4.010884532971103589e+00 1.102211285411230638e+05
4.012814886795371905e+00 1.237340766311673506e+05
4.014576883532303242e+00 1.388959584422459011e+05
4.016235419520242544e+00 1.559175736415135325e+05
4.014768438332492195e+00 1.748866496640139667e+05
4.016079241301450331e+00 2.202496906889249512e+05
2.067467597996796247e+00 5.803736697327214200e-01
2.075019636936351830e+00 6.216994198503211777e-01
2.106457268179392273e+00 6.873978647437073430e-01
2.136417689126849595e+00 7.605626771549128806e-01
2.156878859861318443e+00 8.316932115527866376e-01
2.174556842558954983e+00 9.067930052964069398e-01
2.194646383890423103e+00 9.918163670897941486e-01
2.218302135294200284e+00 1.088656741163154029e+00
2.245056153135986499e+00 1.197791402708977770e+00
2.273896518513163656e+00 1.319047005855408239e+00
2.302695700401049983e+00 1.452413620887996970e+00
2.329378281232614256e+00 1.596361748455823681e+00
2.355545803094756252e+00 1.754368385756435833e+00
2.384260050033473188e+00 1.932191223347451414e+00
2.415590062463687904e+00 2.131214913678386225e+00
2.446661861909988911e+00 2.349065518689043675e+00
2.476000140968150909e+00 2.585274816503182027e+00
2.506238289711925304e+00 2.844842704549980450e+00
2.540425796936967906e+00 3.135134308587348428e+00
2.577949525287859700e+00 3.462024402595687445e+00
2.616565616809072736e+00 3.828294614492025350e+00
2.653627868715343396e+00 4.229275255085703122e+00
2.686298586625990303e+00 4.655574619995584307e+00
2.717367675782522696e+00 5.112472147490956687e+00
2.755943213213473353e+00 5.631615416262181206e+00
2.804640487825791784e+00 6.232133258579626300e+00
2.852852555109251398e+00 6.891696549939882566e+00
2.891871309214359975e+00 7.597788903634108415e+00
2.928974100876131637e+00 8.384226580294535935e+00
