                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                      76                                      431                  1.0000000000000000E+000                  2.0000000000000000E-002                  5.0000000000000000E+001                  6.5926815343223319E+000                  5.6322365744175727E+002                  3.9612018012257804E-006                  2.0902819380121637E-001                  6.0039764719235160E+000                  7.0570000000000010E-001                  3.4610000000002855E-005                  2.7690000000000003E-001                  2.9880308009149329E-003                  8.7584490491778152E-004                  8.1317824244995663E-003                  1.8074638875443625E-003                  3.8183852346690243E-004                  0.0000000000000000E+000                  2.6946344601059288E-004                  1.3215431297190562E-008                  1.0573108714798537E-004                  1.1409452690949839E-006                  3.3443132527981527E-007                  3.1050277941250222E-006                  6.9015934203968696E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8946820629055052E+004                  4.1467567137710592E+006                  9.6394615227314038E+011                  6.2265877614781972E-013                  6.2265877614781972E-013                  0.0000000000000000E+000                  5.7836535985627540E-025                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.5778800000000000E+009                               "r24.08.1"                               "gfortran"                                 "13.3.0"                   "aarch64-macos-24.7.1"                                 "CRMATH"                               "20241010"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       dm                                        q                                       xq                                   radius                                     rmid                          acoustic_radius                              temperature                                   energy                                  entropy                                 pressure                                     prad                                     pgas                                    grada                               log_csound                                       h1                                       h2                                      he3                                      he4                                      li7                                      be7                                       b8                                      c12                                      n14                                      o16                                     ne20                                     mg24                             total_energy                                    gradT                                    gradr                                    gradL                               sch_stable                            ledoux_stable                              mixing_type                                      tau                                 brunt_N2                  brunt_N2_structure_term                brunt_N2_composition_term              log_brunt_N2_structure_term            log_brunt_N2_composition_term                                  brunt_A                           brunt_A_div_x2                   brunt_N2_dimensionless                    brunt_N_dimensionless                          brunt_frequency                                  brunt_N                              log_brunt_N                             log_brunt_N2               log_brunt_N2_dimensionless                                  brunt_B                               brunt_nonB                              log_brunt_B                           log_brunt_nonB                            sign_brunt_N2                                 brunt_nu                             log_brunt_nu                                   lamb_S                                  lamb_S2                                 lamb_Sl1                                 lamb_Sl2                                 lamb_Sl3                                lamb_Sl10                             log_lamb_Sl1                             log_lamb_Sl2                             log_lamb_Sl3                            log_lamb_Sl10                   brunt_N_div_r_integral                             k_r_integral                      brunt_N2_sub_omega2                           sl2_sub_omega2 
                                       1                  3.8183852346690243E-004                 -6.7979513213540743E-001                  2.7506809409304820E+000                 -5.7483375879616299E+000                  4.5492496519589292E+000                  7.0572781000000007E-001                  2.7693461000000003E-001                  1.7337579999999964E-002                  7.5925148907435789E+017                  1.0000000000000000E+000                  0.0000000000000000E+000                  2.0902819380121637E-001                  2.0902819265092443E-001                  2.0729196113397935E+004                  5.6322372548305668E+002                  4.5534999324037354E+010                  9.6648426482660401E+000                  3.5420089314198318E+004                  2.5377774499966835E-004                  3.5420089060420571E+004                  2.9736439287446498E-001                  5.2256378181622374E+000                  7.0570000000000010E-001                  2.7810000000000003E-005                  3.4610000000000009E-005                  2.7690000000000003E-001                  1.0771934046337800E-008                  5.9317396831135621E-091                  1.0000000000000000E-099                  2.9880308009149329E-003                  8.7584490491778141E-004                  8.1317824244995663E-003                  1.8074638875443623E-003                  3.5344472101892775E-003                 -3.4391578740240791E+012                  1.2500006085105522E-001                  1.2500006085105522E-001                  2.9736439287446498E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                                        0                  6.6666666666666663E-001                  4.9881023450038393E-007                  4.9881023450038393E-007                  0.0000000000000000E+000                 -6.3020646443245232E+000                 -9.8999999999999986E+001                  3.0270848417728235E+001                  3.0270848417728235E+001                  1.0090282805909412E+001                  3.1765205502104679E+000                  9.7118407391944785E+000                  7.0626498886776476E-004                 -3.1510323221622616E+000                 -6.3020646443245232E+000                  1.0039033386179514E+000                  0.0000000000000000E+000                  1.7236433202340976E-001                 -9.8999999999999986E+001                 -7.6355259934684050E-001                  1.0000000000000000E+000                  1.1240556411104720E+002                  2.0507878094796226E+000                  1.6350308250276959E-005                  2.6733257987907479E-010                  2.6022323791077766E+000                  4.5071986937155044E+000                  6.3741415209627643E+000                  1.9298671833010442E+001                  4.1534607641387122E-001                  6.5390670377370230E-001                  8.0442170160569293E-001                  1.2855274211609931E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  3.8183852346652058E-004                 -6.7979513691529014E-001                  2.7506810589781119E+000                 -5.7483367616300596E+000                  4.5492505963381182E+000                  7.0572781000000007E-001                  2.7693461000000003E-001                  1.7337579999999964E-002                  9.4906436134294771E+017                  9.9999999999900002E-001                  9.9999999999999998E-013                  2.0902819150063395E-001                  2.0902819006277237E-001                  2.0729195161430736E+004                  5.6322387857557283E+002                  4.5535011985137032E+010                  9.6648421132661610E+000                  3.5420166335742499E+004                  2.5377802092191814E-004                  3.5420166081964475E+004                  2.9736439879122933E-001                  5.2256378736482070E+000                  7.0570000000000010E-001                  2.7810000000000003E-005                  3.4610000000000009E-005                  2.7690000000000003E-001                  1.0771934046337800E-008                  5.9317510475263574E-091                  1.0000000000000000E-099                  2.9880308009149329E-003                  8.7584490491778141E-004                  8.1317824244995663E-003                  1.8074638875443623E-003                  3.5344472101892775E-003                 -3.4391579045059370E+012                  1.2500023167032739E-001                  1.2500023167032739E-001                  2.9736439550413801E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                                        0                  6.6666795526983391E-001                  4.9880970947195845E-007                  4.9880970947195845E-007                  0.0000000000000000E+000                 -6.3020651014463951E+000                 -9.8999999999999986E+001                  3.0270815556340619E+001                  3.0270816222667072E+001                  1.0090272185266675E+001                  3.1765188784684839E+000                  9.7118356280385303E+000                  7.0626461717401530E-004                 -3.1510325507231975E+000                 -6.3020651014463951E+000                  1.0039028814960798E+000                  0.0000000000000000E+000                  1.7236416383381062E-001                 -9.8999999999999986E+001                 -7.6355302312274353E-001                  1.0000000000000000E+000                  1.1240550495414966E+002                  2.0507875809186871E+000                  1.6350309358645252E-005                  2.6733261612340248E-010                  2.6022325555100689E+000                  4.5071989992532373E+000                  6.3741419530583707E+000                  1.9298673141244851E+001                  4.1534610585418569E-001                  6.5390673321401682E-001                  8.0442173104600745E-001                  1.2855274506013075E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  3.8183852346604331E-004                 -6.7979514289012888E-001                  2.7506811901422861E+000                 -5.7483358434863625E+000                  4.5492516456459766E+000                  7.0572781000000007E-001                  2.7693461000000003E-001                  1.7337579999999964E-002                  9.4906436134294746E+017                  9.9999999999775002E-001                  2.2500000000000003E-012                  2.0902818862491304E-001                  2.0902818718705446E-001                  2.0729193971474841E+004                  5.6322404867859996E+002                  4.5535026053044937E+010                  9.6648415188247583E+000                  3.5420251915240609E+004                  2.5377832750287662E-004                  3.5420251661462280E+004                  2.9736440536570224E-001                  5.2256379352993454E+000                  7.0570000000000010E-001                  2.7810000000000003E-005                  3.4610000000000009E-005                  2.7690000000000003E-001                  1.0771934046337800E-008                  5.9317636746430387E-091                  1.0000000000000000E-099                  2.9880308009149329E-003                  8.7584490491778141E-004                  8.1317824244995663E-003                  1.8074638875443623E-003                  3.5344472101892775E-003                 -3.4391579383745591E+012                  1.2500065904462695E-001                  1.2500065904462695E-001                  2.9736440207846582E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                                        0                  6.6666956602704186E-001                  4.9880836850933781E-007                  4.9880836850933781E-007                  0.0000000000000000E+000                 -6.3020662689726850E+000                 -9.8999999999999986E+001                  3.0270732929232089E+001                  3.0270734428460482E+001                  1.0090245059335533E+001                  3.1765146087080307E+000                  9.7118225737444188E+000                  7.0626366783895791E-004                 -3.1510331344863425E+000                 -6.3020662689726850E+000                  1.0039017139697901E+000                  0.0000000000000000E+000                  1.7236374303383886E-001                 -9.8999999999999986E+001                 -7.6355408338564701E-001                  1.0000000000000000E+000                  1.1240535386278262E+002                  2.0507869971555421E+000                  1.6350311904625650E-005                  2.6733269937854316E-010                  2.6022329607154342E+000                  4.5071997010895171E+000                  6.3741429456047562E+000                  1.9298676146328269E+001                  4.1534617348013253E-001                  6.5390680083996366E-001                  8.0442179867195429E-001                  1.2855275182272543E+000                  9.9999915057746613E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  3.8183852346556599E-004                 -6.7979514886495840E-001                  2.7506813868887399E+000                 -5.7483344662756766E+000                  4.5492532196031004E+000                  7.0572781000000007E-001                  2.7693461000000003E-001                  1.7337579999999964E-002                  1.8981287226858947E+018                  9.9999999999650002E-001                  3.5000000000000004E-012                  2.0902818574919660E-001                  2.0902818287349059E-001                  2.0729192781520964E+004                  5.6322430383348683E+002                  4.5535047154935165E+010                  9.6648406271678553E+000                  3.5420380284494968E+004                  2.5377878737545913E-004                  3.5420380030716180E+004                  2.9736441522798318E-001                  5.2256380277761316E+000                  7.0570000000000010E-001                  2.7810000000000003E-005                  3.4610000000000009E-005                  2.7690000000000003E-001                  1.0771934046337800E-008                  5.9317826153017716E-091                  1.0000000000000000E-099                  2.9880308009149329E-003                  8.7584490491778141E-004                  8.1317824244995663E-003                  1.8074638875443623E-003                  3.5344472101892775E-003                 -3.4391579891772363E+012                  1.2500108641892757E-001                  1.2500108641892757E-001                  2.9736440865312924E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                                        0                  6.6667117678785959E-001                  4.9880702754812494E-007                  4.9880702754812494E-007                  0.0000000000000000E+000                 -6.3020674365008880E+000                 -9.8999999999999986E+001                  3.0270650302217692E+001                  3.0270652634342223E+001                  1.0090217933432868E+001                  3.1765103389463203E+000                  9.7118095194464633E+000                  7.0626271850362100E-004                 -3.1510337182504440E+000                 -6.3020674365008880E+000                  1.0039005464415873E+000                  0.0000000000000000E+000                  1.7236332223420167E-001                 -9.8999999999999986E+001                 -7.6355514365029598E-001                  1.0000000000000000E+000                  1.1240520277137111E+002                  2.0507864133914406E+000                  1.6350314450608263E-005                  2.6733278263376936E-010                  2.6022333659211521E+000                  4.5072004029264079E+000                  6.3741439381520060E+000                  1.9298679151414301E+001                  4.1534624110612772E-001                  6.5390686846595880E-001                  8.0442186629794943E-001                  1.2855275858532496E+000                  9.9999820677806095E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  3.8183852346461140E-004                 -6.7979516081457414E-001                  2.7506817803824517E+000                 -5.7483317118718729E+000                  4.5492563675005790E+000                  7.0572781000000007E-001                  2.7693461000000003E-001                  1.7337579999999964E-002                  3.7962574453717898E+018                  9.9999999999400002E-001                  6.0000000000000003E-012                  2.0902817999778467E-001                  2.0902817424640627E-001                  2.0729190401622382E+004                  5.6322481414464994E+002                  4.5535089358831345E+010                  9.6648388438735608E+000                  3.5420637023031952E+004                  2.5377970712500318E-004                  3.5420636769252247E+004                  2.9736443495460446E-001                  5.2256382127300398E+000                  7.0570000000000010E-001                  2.7810000000000003E-005                  3.4610000000000009E-005                  2.7690000000000003E-001                  1.0771934046337800E-008                  5.9318204965596594E-091                  1.0000000000000000E-099                  2.9880308009149329E-003                  8.7584490491778141E-004                  8.1317824244995663E-003                  1.8074638875443623E-003                  3.5344472101892775E-003                 -3.4391580907817373E+012                  1.2500194116752247E-001                  1.2500194116752247E-001                  2.9736442180352363E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                                        0                  6.6667439832032438E-001                  4.9880434563007052E-007                  4.9880434563007052E-007                  0.0000000000000000E+000                 -6.3020697715629037E+000                 -9.8999999999999986E+001                  3.0270485048483522E+001                  3.0270489046380714E+001                  1.0090163681715962E+001                  3.1765017994196008E+000                  9.7117834108404661E+000                  7.0626081983221362E-004                 -3.1510348857814519E+000                 -6.3020697715629037E+000                  1.0038982113795716E+000                  0.0000000000000000E+000                  1.7236248063600115E-001                 -9.8999999999999986E+001                 -7.6355726418465353E-001                  1.0000000000000000E+000                  1.1240490058843130E+002                  2.0507852458604328E+000                  1.6350319542579406E-005                  2.6733294914445408E-010                  2.6022341763335302E+000                  4.5072018066018220E+000                  6.3741459232488138E+000                  1.9298685161593355E+001                  4.1534637635824367E-001                  6.5390700371807475E-001                  8.0442200155006549E-001                  1.2855277211053655E+000                  9.9999679108511497E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  3.8183852346270218E-004                 -6.7979518471366385E-001                  2.7506826985380521E+000                 -5.7483252850203925E+000                  4.5492637125075808E+000                  7.0572781000000007E-001                  2.7693461000000003E-001                  1.7337579999999964E-002                  9.4906436134294733E+018                  9.9999999998900002E-001                  1.1000000000000001E-011                  2.0902816849502953E-001                  2.0902815411679745E-001                  2.0729185641855700E+004                  5.6322600487717284E+002                  4.5535187835126991E+010                  9.6648346829527565E+000                  3.5421236079749957E+004                  2.5378185322866639E-004                  3.5421235825968106E+004                  2.9736448099405577E-001                  5.2256386442906164E+000                  7.0570000000000010E-001                  2.7810000000000003E-005                  3.4610000000000009E-005                  2.7690000000000003E-001                  1.0771934046337800E-008                  5.9319088858574975E-091                  1.0000000000000000E-099                  2.9880308009149329E-003                  8.7584490491778141E-004                  8.1317824244995663E-003                  1.8074638875443623E-003                  3.5344472101892775E-003                 -3.4391583278542363E+012                  1.2500365066466770E-001                  1.2500365066466770E-001                  2.9736444810873341E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                                        0                  6.6668084142857142E-001                  4.9879898181213170E-007                  4.9879898181213170E-007                  0.0000000000000000E+000                 -6.3020744417087791E+000                 -9.8999999999999986E+001                  3.0270154542228738E+001                  3.0270161871597200E+001                  1.0090055178649708E+001                  3.1764847203551456E+000                  9.7117311935947903E+000                  7.0625702248694965E-004                 -3.1510372208543895E+000                 -6.3020744417087791E+000                  1.0038935412336956E+000                  0.0000000000000000E+000                  1.7236079744406571E-001                 -9.8999999999999986E+001                 -7.6356150527317890E-001                  1.0000000000000000E+000                  1.1240429622216192E+002                  2.0507829107874946E+000                  1.6350329726546035E-005                  2.6733328216677488E-010                  2.6022357971621588E+000                  4.5072046139593578E+000                  6.3741498934519143E+000                  1.9298697181980177E+001                  4.1534664686299561E-001                  6.5390727422282680E-001                  8.0442227205481742E-001                  1.2855279916101174E+000                  9.9999395972099159E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  3.8183852345792920E-004                 -6.7979524446051598E-001                  2.7506840102033796E+000                 -5.7483161040281692E+000                  4.5492742051650144E+000                  7.0572781000000007E-001                  2.7693461000000003E-001                  1.7337579999999964E-002                  9.4906436134294733E+018                  9.9999999997650002E-001                  2.3500000000000000E-011                  2.0902813973856416E-001                  2.0902812536063109E-001                  2.0729173742625600E+004                  5.6322770594676604E+002                  4.5535328517467598E+010                  9.6648287390375671E+000                  3.5422091875532045E+004                  2.5378491915634620E-004                  3.5422091621747124E+004                  2.9736454679071800E-001                  5.2256392608122253E+000                  7.0570000000000010E-001                  2.7810000000000003E-005                  3.4610000000000009E-005                  2.7690000000000003E-001                  1.0771934046337800E-008                  5.9320351554919812E-091                  1.0000000000000000E-099                  2.9880308009149329E-003                  8.7584490491778141E-004                  8.1317824244995663E-003                  1.8074638875443623E-003                  3.5344472101892775E-003                 -3.4391586665203926E+012                  1.2500792440789130E-001                  1.2500792440789130E-001                  2.9736451389238688E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                                        0                  6.6669694945187408E-001                  4.9878557235479199E-007                  4.9878557235479199E-007                  0.0000000000000000E+000                 -6.3020861172169935E+000                 -9.8999999999999986E+001                  3.0269328282558376E+001                  3.0269343940166792E+001                  1.0089783922754233E+001                  3.1764420225708880E+000                  9.7116006501041774E+000                  7.0624752909641535E-004                 -3.1510430586084968E+000                 -6.3020861172169935E+000                  1.0038818657254813E+000                  0.0000000000000000E+000                  1.7235658948449559E-001                 -9.8999999999999986E+001                 -7.6357210812462051E-001                  1.0000000000000000E+000                  1.1240278530213169E+002                  2.0507770730333879E+000                  1.6350355186618233E-005                  2.6733411472857374E-010                  2.6022398492585013E+000                  4.5072116323960998E+000                  6.3741598190203410E+000                  1.9298727233130940E+001                  4.1534732312827238E-001                  6.5390795048810346E-001                  8.0442294832009409E-001                  1.2855286678753941E+000                  9.9998735332342137E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  3.8183852345315627E-004                 -6.7979530420612932E-001                  2.7506859777206962E+000                 -5.7483023330258058E+000                  4.5492899436845189E+000                  7.0572781000000007E-001                  2.7693461000000003E-001                  1.7337579999999964E-002                  1.8981287226858947E+019                  9.9999999996400002E-001                  3.5999999999999998E-011                  2.0902811098269899E-001                  2.0902808222773642E-001                  2.0729161843660771E+004                  5.6323025758585186E+002                  4.5535539543860794E+010                  9.6648198236956269E+000                  3.5423375569911797E+004                  2.5378951816248805E-004                  3.5423375316122278E+004                  2.9736464554286418E-001                  5.2256401856024306E+000                  7.0570000000000010E-001                  2.7810000000000003E-005                  3.4610000000000009E-005                  2.7690000000000003E-001                  1.0771934046337800E-008                  5.9322245583159469E-091                  1.0000000000000000E-099                  2.9880308009149329E-003                  8.7584490491778141E-004                  8.1317824244995663E-003                  1.8074638875443623E-003                  3.5344472101892775E-003                 -3.4391591744945371E+012                  1.2501219815132064E-001                  1.2501219815132064E-001                  2.9736457970810004E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                                        0                  6.6671305783615564E-001                  4.9877216303166783E-007                  4.9877216303166783E-007                  0.0000000000000000E+000                 -6.3020977929222335E+000                 -9.8999999999999986E+001                  3.0268502031968900E+001                  3.0268526017192194E+001                  1.0089512669573764E+001                  3.1763993246400499E+000                  9.7114701061654110E+000                  7.0623803567329037E-004                 -3.1510488964611167E+000                 -6.3020977929222335E+000                  1.0038701900202411E+000                  0.0000000000000000E+000                  1.7235238155677940E-001                 -9.8999999999999986E+001                 -7.6358271115466037E-001                  1.0000000000000000E+000                  1.1240127437691449E+002                  2.0507712351807674E+000                  1.6350380646905225E-005                  2.6733494729869289E-010                  2.6022439013890284E+000                  4.5072186508920513E+000                  6.3741697446725034E+000                  1.9298757284535224E+001                  4.1534799939820122E-001                  6.5390862675803230E-001                  8.0442362459002292E-001                  1.2855293441453230E+000                  9.9997791587523954E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  3.8183852344361030E-004                 -6.7979542369364210E-001                  2.7506899128355977E+000                 -5.7482747927776634E+000                  4.5493214190472111E+000                  7.0572781000000007E-001                  2.7693461000000003E-001                  1.7337579999999964E-002                  3.7962574453717893E+019                  9.9999999993900002E-001                  6.0999999999999996E-011                  2.0902805347276809E-001                  2.0902799596645025E-001                  2.0729138046526365E+004                  5.6323536100280353E+002                  4.5535961608169464E+010                  9.6648019949543755E+000                  3.5425942961496570E+004                  2.5379871661243200E-004                  3.5425942707697854E+004                  2.9736484325311402E-001                  5.2256420352164490E+000                  7.0570000000000010E-001                  2.7810000000000003E-005                  3.4610000000000009E-005                  2.7690000000000003E-001                  1.0771934046337800E-008                  5.9326033580043555E-091                  1.0000000000000000E-099                  2.9880308009149329E-003                  8.7584490491778141E-004                  8.1317824244995663E-003                  1.8074638875443623E-003                  3.5344472101892775E-003                 -3.4391601903573018E+012                  1.2502074563753904E-001                  1.2502074563753904E-001                  2.9736471144628085E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                                        0                  6.6674527568765696E-001                  4.9874534482551009E-007                  4.9874534482551009E-007                  0.0000000000000000E+000                 -6.3021211448912169E+000                 -9.8999999999999986E+001                  3.0266849560304237E+001                  3.0266890198882535E+001                  1.0088970172115287E+001                  3.1763139284578417E+000                  9.7112090173078940E+000                  7.0621904875577384E-004                 -3.1510605724456084E+000                 -6.3021211448912169E+000                  1.0038468380512582E+000                  0.0000000000000000E+000                  1.7234396580874181E-001                 -9.8999999999999986E+001                 -7.6360391772074365E-001                  1.0000000000000000E+000                  1.1239825251513764E+002                  2.0507595591962762E+000                  1.6350431568092136E-005                  2.6733661246286392E-010                  2.6022520057476335E+000                  4.5072326880529179E+000                  6.3741895962157784E+000                  1.9298817388067249E+001                  4.1534935195118017E-001                  6.5390997931101125E-001                  8.0442497714300187E-001                  1.2855306966983020E+000                  9.9996376033595002E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
