                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "aarch64-macos-24.7.1"                                 "CRMATH"                               "20241009"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                           mass_conv_core                                     Teff                               luminosity                                   radius                                    log_g                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                           center_entropy                               average_h1                               average_h2                              average_he3                              average_he4                              average_li7                              average_be7                               average_b8                              average_c12                              average_n14                              average_o16                             average_ne20                             average_mg24                            total_mass_h1                           total_mass_he4                                 delta_nu                                   nu_max                          acoustic_cutoff                          acoustic_radius                                    tot_E                            rel_run_E_err                                rel_E_err                              num_retries                                num_iters 
                                      77                                      416                  5.7911217841186797E+001                  8.9824334329489497E-001                  5.4414806516657390E-004                  5.4413943001997440E-004                  1.1697342837680462E+003                  4.2377160646249592E-004                  5.0123876419720237E-001                  1.7736954154638760E+000                  1.1393182728301646E+001                 -7.8155300803669681E-001                  4.3654904825382737E+000                  7.7967753125841865E-001                  1.0573807363639721E+001                  7.0570000000000022E-001                  2.7809999999999664E-005                  3.4610000000000538E-005                  2.7689999999999998E-001                  1.0771934046337799E-008                  8.0004511265537253E-086                  9.9999999999999982E-100                  2.9880308009149334E-003                  8.7584490491778055E-004                  8.1317824244995680E-003                  1.8074638875443620E-003                  3.5344472101892783E-003                  3.8400528958805127E-004                  1.5067459924462430E-004                  9.1089804854436824E+000                  1.4808666594927068E+001                  2.8155729922044848E+001                  5.4890884967753438E+004                 -1.7714708128176013E+041                 -7.6416016745173727E-012                  7.6416016745173727E-012                                        0                                        2 
                                      80                                      416                  9.2467417371490725E+001                  1.1357870814377693E+000                  5.4414806516657390E-004                  5.4413947859438159E-004                  1.1699983906462060E+003                  4.2189818385161176E-004                  4.9990382535837397E-001                  1.7760117964510878E+000                  1.1397699753947592E+001                 -7.7771796867228449E-001                  4.3661752664984732E+000                  8.0883864393807647E-001                  1.0572573530403881E+001                  7.0570000000000022E-001                  2.7809999999999458E-005                  3.4610000000000809E-005                  2.7689999999999998E-001                  1.0771934046337799E-008                  8.0909854011752159E-086                  9.9999999999999982E-100                  2.9880308009149334E-003                  8.7584490491778055E-004                  8.1317824244995680E-003                  1.8074638875443620E-003                  3.5344472101892783E-003                  3.8400528958805127E-004                  1.5067459924462430E-004                  9.1428919631960088E+000                  1.4886181631636610E+001                  2.8301790077086224E+001                  5.4687291724840521E+004                 -1.7891058727038565E+041                 -4.9321362731557398E-011                  1.9387076530751851E-012                                        0                                        3 
                                      90                                      416                  5.1831184396247249E+002                  1.9275995419140175E+000                  5.4414806516657390E-004                  5.4414011306895842E-004                  1.1742563766298451E+003                  4.0044155785686760E-004                  4.8350044432503408E-001                  1.8049909615379676E+000                  1.1455917279066748E+001                 -7.2999760921253298E-001                  4.3756371809380559E+000                  1.1693435667857326E+000                  1.0558045111062517E+001                  7.0570000000000022E-001                  2.7809999999996737E-005                  3.4610000000004929E-005                  2.7689999999999998E-001                  1.0771934046337799E-008                  9.3751226558689316E-086                  9.9999999999999982E-100                  2.9880308009149334E-003                  8.7584490491778055E-004                  8.1317824244995680E-003                  1.8074638875443620E-003                  3.5344472101892783E-003                  3.8400528958805127E-004                  1.5067459924462430E-004                  9.5810318072357266E+000                  1.5884503596488342E+001                  3.0167836708227785E+001                  5.2186446100971414E+004                 -1.9998159759738473E+041                 -6.0661935557955488E-011                  1.6481593277562798E-012                                        0                                        3 
                                     100                                      416                  3.1550282903618968E+003                  2.7194120023902655E+000                  5.4414806516657390E-004                  5.4414313782011434E-004                  1.2036253214485591E+003                  3.0585930016565374E-004                  4.0219009867893035E-001                  1.9649219671699607E+000                  1.1763297718759922E+001                 -5.1874750939023606E-001                  4.4466787766786755E+000                  2.4361895463671401E+000                  1.0486010717864687E+001                  7.0570000000000022E-001                  2.7809999999970408E-005                  3.4610000000044373E-005                  2.7689999999999998E-001                  1.0771934046337799E-008                  2.2604975417340831E-085                  9.9999999999999982E-100                  2.9880308009149334E-003                  8.7584490491778055E-004                  8.1317824244995680E-003                  1.8074638875443620E-003                  3.5344472101892783E-003                  3.8400528958805127E-004                  1.5067459924462430E-004                  1.2447807842537811E+001                  2.2674643034938189E+001                  4.2164620154829109E+001                  4.0167715177234124E+004                 -3.0915239095367419E+041                 -6.0126871326469886E-011                  1.3680953598397814E-012                                        0                                        4 
                                     110                                      436                  1.9480881547074303E+004                  3.5112244628665139E+000                  5.4414806516657390E-004                  5.4414544691841081E-004                  1.1722528203256143E+003                  1.4553303161061928E-004                  2.9247676901125375E-001                  2.2416019637238116E+000                  1.2131991448996990E+001                 -2.8808193857195369E-001                  4.5202129728303682E+000                  3.7135595264474373E+000                  1.0250700964303132E+001                  7.0570000000000022E-001                  2.7809999999582409E-005                  3.4610000000626373E-005                  2.7689999999999998E-001                  1.0771934046337799E-008                  7.6137824117736742E-085                  1.0000000158382027E-099                  2.9880308009149308E-003                  8.7584490491778044E-004                  8.1317824244995680E-003                  1.8074638875443616E-003                  3.5344472101892779E-003                  3.8400528958805127E-004                  1.5067459924462430E-004                  1.9583112896848441E+001                  4.3446567432037604E+001                  8.1346582068956465E+001                  2.5532202292540849E+004                 -6.9311064932640011E+041                 -3.3351677032632009E-011                  7.5059343268680222E-013                                        0                                        4 
                                     120                                      469                  1.0836344580663416E+005                  4.1872816547182081E+000                  5.4414806516657390E-004                  5.4414531553849984E-004                  9.6230331004552943E+002                  3.7454241043688438E-005                  2.2018093019458579E-001                  2.4882253122932108E+000                  1.2398928620784730E+001                 -1.1092963219192668E-001                  4.5421217581325388E+000                  5.0797932488292705E+000                  9.8511975591222516E+000                  7.0569999999999833E-001                  2.7809999995343402E-005                  3.4610000006984826E-005                  2.7689999999999998E-001                  1.0771934046337797E-008                  1.9259653245169033E-084                  1.0000000373550787E-099                  2.9880308009149290E-003                  8.7584490491777979E-004                  8.1317824244995646E-003                  1.8074638875443601E-003                  3.5344472101892749E-003                  3.8400528958805030E-004                  1.5067459924462430E-004                  2.7990780410759733E+001                  8.4612294412212847E+001                  1.5786293513616775E+002                  1.7863024633918340E+004                 -1.3943865844245552E+042                 -3.5801999415011718E-011                  4.1859892732970991E-013                                        0                                        3 
                                     130                                      486                  3.7133153103147139E+005                  4.6342406982249953E+000                  5.4414806516657390E-004                  5.4414429412962667E-004                  7.6073656315036681E+002                  1.0560390928355800E-005                  1.8707880115838194E-001                  2.6297355602043955E+000                  1.2536718015117748E+001                 -1.4126220410327050E-002                  4.5310403019596412E+000                  6.3223269195958256E+000                  9.5050425623848618E+000                  7.0569999999998834E-001                  2.7809999976574629E-005                  3.4610000035138019E-005                  2.7689999999999998E-001                  1.0771934046337799E-008                  3.1639998028529757E-084                  1.0000034294859402E-099                  2.9880308009149290E-003                  8.7584490491777979E-004                  8.1317824244995680E-003                  1.8074638875443601E-003                  3.5344472101892749E-003                  3.8400528958804482E-004                  1.5067459924462430E-004                  3.4243652372028798E+001                  1.3182038159881722E+002                  2.4736481437593361E+002                  1.4601246227123087E+004                 -1.9542064715518209E+042                 -2.9344619130707884E-011                  3.6709849404817843E-013                                        0                                        3 
                                     140                                      487                  1.1238300094427569E+006                  5.0918172105694728E+000                  5.4414806516657390E-004                  5.4414272235308464E-004                  6.0422018958372269E+002                  3.3406522870384577E-006                  1.6679319673066759E-001                  2.7294280518336222E+000                  1.2623267576398645E+001                  4.9265172220600367E-002                  4.5083024079889071E+000                  7.5739574476989775E+000                  9.2028371977825785E+000                  7.0569999999995425E-001                  2.7809999907892092E-005                  3.4610000138161722E-005                  2.7689999999999992E-001                  1.0771934046337797E-008                  4.3541585005855707E-084                  1.0000034294859400E-099                  2.9880308009149251E-003                  8.7584490491777935E-004                  8.1317824244995628E-003                  1.8074638875443581E-003                  3.5344472101892723E-003                  3.8400528958802628E-004                  1.5067459924462427E-004                  3.9665548399211232E+001                  1.8607780946112641E+002                  3.4868224825038681E+002                  1.2605397383335881E+004                 -2.4363417518782083E+042                 -2.6659501954830360E-011                  3.4285011159204837E-013                                        0                                        4 
                                     150                                      489                  3.4211595922974651E+006                  5.5348817827421568E+000                  5.4414806516657390E-004                  5.4414019901544760E-004                  4.7762485558207175E+002                  1.0889252758638065E-006                  1.5239768203098486E-001                  2.8078279937203541E+000                  1.2685082620951874E+001                  9.3869743812490400E-002                  4.4776723838046300E+000                  8.9615842407869089E+000                  8.9089323079847738E+000                  7.0569999999983002E-001                  2.7809999658825598E-005                  3.4610000511761459E-005                  2.7689999999999992E-001                  1.0771934046337797E-008                  5.5078611097039020E-084                  1.0000053293604567E-099                  2.9880308009149234E-003                  8.7584490491777892E-004                  8.1317824244995628E-003                  1.8074638875443573E-003                  3.5344472101892697E-003                  3.8400528958795868E-004                  1.5067459924462427E-004                  4.3713407450218519E+001                  2.5069673821003681E+002                  4.7025554962885110E+002                  1.1438138300460962E+004                 -2.9110380667326265E+042                 -2.5223083856183847E-011                  2.8981281502784104E-013                                        0                                        4 
