                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "aarch64-macos-24.7.1"                                 "CRMATH"                               "20240902"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                           mass_conv_core                                     Teff                               luminosity                                   radius                                    log_g                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                           center_entropy                               average_h1                              average_he3                              average_he4                              average_c12                              average_n14                              average_o16                             average_ne20                             average_mg24                            total_mass_h1                           total_mass_he4                                 delta_nu                                   nu_max                          acoustic_cutoff                          acoustic_radius                                    tot_E                            rel_run_E_err                                rel_E_err                              num_retries                                num_iters 
                                     124                                      478                  5.3275063328056874E+001                  5.1521970211703616E-001                  1.5273589769965138E-003                  1.5273584204473000E-003                  1.0898872106815602E+003                  3.0595819142445735E-005                  1.5513903676881796E-001                  3.2405665677891560E+000                  1.3391081528244415E+001                  3.7958239829377272E-001                  4.8306348591868371E+000                  6.5863041126090023E+000                  9.5771958323701707E+000                  7.1000000000000052E-001                  2.8733433992169399E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  8.0139179843457086E+001                  4.4951060168926477E+002                  8.3610133665178830E+002                  6.2391454588965598E+003                 -2.3006930165698096E+043                 -2.4643728385720534E-013                  2.4643728385720534E-013                                        0                                        2 
                                     130                                      478                  9.2300403539103058E+001                  9.9030717840278504E-001                  1.5273589769965138E-003                  1.5273584204318329E-003                  1.0898712276276631E+003                  3.0593759750326775E-005                  1.5513836564274414E-001                  3.2405703252829117E+000                  1.3391087027093887E+001                  3.7958656067728030E-001                  4.8306332388034727E+000                  6.5863810951520732E+000                  9.5771767074683680E+000                  7.1000000000000052E-001                  2.8733433992169399E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  8.0139587101463718E+001                  4.4951778692090238E+002                  8.3611505889404759E+002                  6.2391137524449223E+003                 -2.3007074399562112E+043                 -1.8518192992350446E-012                  2.6903464947045630E-013                                        0                                        2 
                                     140                                      478                  3.9692927710497935E+002                  1.7821196388790332E+000                  1.5273589769965138E-003                  1.5273584202727393E-003                  1.0897465237739295E+003                  3.0577695525121833E-005                  1.5513312899017173E-001                  3.2405996447576992E+000                  1.3391129934538213E+001                  3.7961903953000958E-001                  4.8306205938860787E+000                  6.5869818404700871E+000                  9.5770274689865786E+000                  7.1000000000000052E-001                  2.8733433992169399E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  8.0142765019161729E+001                  4.4957385617291391E+002                  8.3622213529096382E+002                  6.2388663515721291E+003                 -2.3008199914687197E+043                 -4.5077240668933574E-012                  2.5524758860518127E-013                                        0                                        2 
                                     150                                      478                  2.2831109688775000E+003                  2.5739320993552810E+000                  1.5273589769965138E-003                  1.5273584192847993E-003                  1.0889753017805606E+003                  3.0478515761330683E-005                  1.5510078929881888E-001                  3.2407807332683216E+000                  1.3391394969365120E+001                  3.7981965144720153E-001                  4.8305424447956948E+000                  6.5906946104497601E+000                  9.5761053572600385E+000                  7.1000000000000052E-001                  2.8733433992169399E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  8.0162392521297875E+001                  4.4992058914627478E+002                  8.3688416674512212E+002                  6.2373387853557133E+003                 -2.3015154477968542E+043                 -7.1239031100166141E-012                  2.6743413263720972E-013                                        0                                        2 
                                     160                                      478                  1.3961850849089460E+004                  3.3657445598315294E+000                  1.5273589769965138E-003                  1.5273584130541366E-003                  1.0842344434156380E+003                  2.9875156646360902E-005                  1.5490372348537845E-001                  3.2418850347006911E+000                  1.3393011936961180E+001                  3.8104332582193789E-001                  4.8300640724418304E+000                  6.6134217568300526E+000                  9.5704690031874105E+000                  7.1000000000000052E-001                  2.8733433992169399E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  8.0282059695085820E+001                  4.5205115612952511E+002                  8.4094727335474613E+002                  6.2280415063965493E+003                 -2.3057673068831421E+043                 -9.7215481425352169E-012                  2.5835076467857789E-013                                        0                                        2 
                                     170                                      479                  8.6273529933133235E+004                  4.1575570203077774E+000                  1.5273589769965138E-003                  1.5273583763126652E-003                  1.0571411494809809E+003                  2.6612230926969511E-005                  1.5378991121026633E-001                  3.2481530567103025E+000                  1.3402194221563549E+001                  3.8798339543777033E-001                  4.8272969539963713E+000                  6.7449587452500701E+000                  9.5381116408980784E+000                  7.1000000000000052E-001                  2.8733433992169399E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  8.0964191392264993E+001                  4.6446256583631157E+002                  8.6446284808610505E+002                  6.1755696117255120E+003                 -2.3302129010401982E+043                 -2.3889953580535975E-011                  5.8695309445480797E-012                                        0                                        2 
                                     180                                      485                  5.3400838708270714E+005                  4.9493694807840249E+000                  1.5273589769965138E-003                  1.5273581943916895E-003                  9.4346843985963903E+002                  1.5899583938334222E-005                  1.4924207773376857E-001                  3.2742261758717803E+000                  1.3440106953815564E+001                  4.1645029127310901E-001                  4.8150131829197482E+000                  7.3349510352224314E+000                  9.3981099197567364E+000                  7.1000000000000052E-001                  2.8733433992169399E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  8.3949321618759299E+001                  5.2206747426926836E+002                  9.7445630429225378E+002                  5.9559742754165400E+003                 -2.4369416501421222E+043                 -2.5477690336450205E-011                  2.6049686175642350E-013                                        0                                        3 
                                     190                                      490                  2.5937686419544518E+006                  5.5062221754242771E+000                  1.5273589769965138E-003                  1.5273576661556298E-003                  7.5016878699234042E+002                  5.7037687161613936E-006                  1.4138916645414412E-001                  3.3211764808117596E+000                  1.3506994336404416E+001                  4.6592372794848080E-001                  4.7901903435410880E+000                  8.5827291732710318E+000                  9.1250668213995318E+000                  7.1000000000000052E-001                  2.8733433992169399E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  9.0429329187834313E+001                  6.5232066249643628E+002                  1.2205196074118094E+003                  5.5291795758147264E+003                 -2.6505018785010851E+043                 -2.5870756660933479E-011                  2.6211335886313010E-013                                        0                                        3 
                                     200                                      492                  8.4308968275963012E+006                  5.9510973068290953E+000                  1.5273589769965138E-003                  1.5273567468066709E-003                  5.9059485901782693E+002                  1.9929448494080140E-006                  1.3484084851907777E-001                  3.3623657955811250E+000                  1.3565961928607175E+001                  5.0918725328464942E-001                  4.7641801733643474E+000                  9.9479263210542950E+000                  8.8555837848830734E+000                  7.1000000000000052E-001                  2.8733433992169399E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  9.7091174603163381E+001                  8.0832333036336593E+002                  1.5146369405415116E+003                  5.1497986510476230E+003                 -2.8652818088425707E+043                 -2.6786474081113120E-011                  2.3970037839767152E-013                                        0                                        3 
                                     210                                      492                  2.4698547656129427E+007                  6.3925256984617533E+000                  1.5273589769965138E-003                  1.5273554400446535E-003                  4.6558053337539252E+002                  7.0770084715704670E-007                  1.2929698310496907E-001                  3.3988319659513935E+000                  1.3619670447419033E+001                  5.4898624768364246E-001                  4.7346009487458964E+000                  1.1488765669245236E+001                  8.5851371879404503E+000                  7.1000000000000052E-001                  2.8733433992169399E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  1.0513756543940265E+002                  9.9014479451321949E+002                  1.8565114373371821E+003                  4.7556741295115989E+003                 -3.0772456223056579E+043                 -2.7225104917003635E-011                  2.3767195244616593E-013                                        0                                        4 
                                     220                                      491                  8.5262228015110359E+007                  7.0758384488570503E+000                  1.5273589769965138E-003                  1.5273589454267214E-003                  3.7981806361033074E+002                  2.8171868931649557E-007                  1.2257721782684768E-001                  3.4451892294824127E+000                  1.3689424805482206E+001                  6.0228583571087935E-001                  4.6791104889257102E+000                  1.4272615707044256E+001                  8.1858967124212416E+000                  7.1000000000000052E-001                  2.8733433992169399E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  1.2022875477754427E+002                  1.2197352394359486E+003                  2.2893581135385302E+003                  4.1587389050575739E+003                 -3.3657693095806182E+043                 -2.7385139944875515E-011                  5.3316722445594109E-013                                        0                                        3 
                                     230                                      491                  2.2586846263109666E+008                  7.1942694986298132E+000                  1.5273589769965138E-003                  1.5273589083320174E-003                  2.9601255419252573E+002                  9.4714096668014295E-008                  1.1701464273966544E-001                  3.4855283270976325E+000                  1.3751578516950072E+001                  6.5035718832717437E-001                  4.6080263169899416E+000                  1.8145706281514002E+001                  7.7662422696901547E+000                  7.1000000000000052E-001                  2.8733433992169399E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  1.3500055337264700E+002                  1.5161333863986938E+003                  2.8530421388170403E+003                  3.7036885220746585E+003                 -3.6277120969165066E+043                 -2.7645927244321088E-011                  1.9655734622228218E-013                                        0                                        3 
                                     240                                      491                  4.9797900017135215E+008                  7.5377678479485395E+000                  1.5273589769965138E-003                  1.5273589061777378E-003                  2.3301998289449705E+002                  3.4195134532375599E-008                  1.1346162183381031E-001                  3.5123107748458255E+000                  1.3793395435258232E+001                  6.8250506126340571E-001                  4.5469220936235191E+000                  2.1963777814857320E+001                  7.4463356400448086E+000                  7.1000000000000052E-001                  2.8733433992169399E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  1.4802008663834087E+002                  1.8175164121732314E+003                  3.4263805473341586E+003                  3.3779199252980816E+003                 -3.8009399607458079E+043                 -2.8870741967963426E-011                  2.2199243857862766E-013                                        0                                        3 
                                     250                                      491                  1.2778537911230140E+009                  8.0122582899511983E+000                  1.5273589769965138E-003                  1.5273589241187333E-003                  1.8512207278046961E+002                  1.2725685663787062E-008                  1.0966734965094939E-001                  3.5418540532453862E+000                  1.3839812483767329E+001                  7.1825007093978288E-001                  4.4618427398188976E+000                  2.8243124974773675E+001                  7.0464122641594074E+000                  7.1000000000000052E-001                  2.8733433992169416E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  1.6419688610020506E+002                  2.1826751323505168E+003                  4.1584649886917641E+003                  3.0451247394232746E+003                 -3.9870617121980956E+043                 -3.0075484899194529E-011                  2.0815203331261728E-013                                        0                                        3 
                                     260                                      491                  2.5233412853873658E+009                  8.1937973795439305E+000                  1.5273589769965138E-003                  1.5273589593267295E-003                  1.5130084157545045E+002                  5.4510926790788736E-009                  1.0745144406439572E-001                  3.5595842362070638E+000                  1.3868014592296566E+001                  7.3993192561268684E-001                  4.3987615701767311E+000                  3.3775460115394353E+001                  6.7633423587407080E+000                  7.1000000000000052E-001                  2.8733433992169456E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  1.7215345423933283E+002                  2.5149404945302745E+003                  3.7650364034214967E+003                  2.9043855216804723E+003                 -4.0991836962066307E+043                 -3.2930930557894779E-011                  1.6071057559965963E-012                                        0                                       24 
                                     270                                      491                  5.9281175071049623E+009                  8.6455138143563097E+000                  1.5273589769965138E-003                  1.5273589247205006E-003                  1.2100039232500185E+002                  2.1236017649891700E-009                  1.0486151857996827E-001                  3.5807764635565027E+000                  1.3901913614016543E+001                  7.6553004618795850E-001                  4.3099178638326752E+000                  4.3116056284463880E+001                  6.3655151541972499E+000                  7.1000000000000052E-001                  2.8733433992169551E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  1.8880544050637363E+002                  2.9528896916522285E+003                  4.4206767458772329E+003                  2.6482287727462026E+003                 -4.2318630020199774E+043                 -8.4150703726258891E-011                  1.5088145928117083E-011                                        0                                        6 
                                     280                                      491                  1.2641550389387993E+010                  8.9443888758729280E+000                  1.5273589769965138E-003                  1.5273589009891554E-003                  9.5210614276894759E+001                  7.8266394784028951E-010                  1.0281822240401475E-001                  3.5978685667090708E+000                  1.3928925178687182E+001                  7.8528486655523866E-001                  4.2290143744716406E+000                  5.3548268929042948E+001                  6.0023100089678536E+000                  7.1000000000000052E-001                  2.8733433992169815E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  2.0371160728770150E+002                  3.4625019969451296E+003                  5.1836017421114739E+003                  2.4544502233191406E+003                 -4.3312310720141784E+043                 -8.4102148143850765E-011                  1.7514873795945970E-013                                        0                                        4 
                                     287                                      491                  2.0000000000000000E+010                  8.4690441234023499E+000                  1.5273589769965138E-003                  1.5273588832198691E-003                  8.1471646348716092E+001                  4.1152586430820591E-010                  1.0182132490465334E-001                  3.6063312615017509E+000                  1.3942518228528202E+001                  7.9496759485850477E-001                  4.1839688993913944E+000                  6.0290736617231943E+001                  5.8006928689651769E+000                  7.1000000000000052E-001                  2.8733433992170120E-005                  2.6997126656600778E-001                  3.4468833607861553E-003                  1.0103427409336064E-003                  9.3805276451495497E-003                  2.0850244238750375E-003                  4.0772218292556795E-003                  1.0844248736675255E-003                  4.1234303752071079E-004                  2.0951169186157725E+002                  3.8167363816161037E+003                  5.7139148810386796E+003                  2.3865016580093588E+003                 -4.3787623457680498E+043                 -8.7109117457613813E-011                  2.8170813470562043E-012                                        0                                        2 
