                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "aarch64-macos-24.7.1"                                 "CRMATH"                               "20241009"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                           mass_conv_core                                     Teff                               luminosity                                   radius                                    log_g                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                           center_entropy                                  species                               average_h1                               average_h2                              average_he3                              average_he4                              average_li7                              average_be7                               average_b8                              average_c12                              average_n14                              average_o16                             average_ne20                             average_mg24                            total_mass_h1                           total_mass_he4                                 delta_nu                                   nu_max                          acoustic_cutoff                          acoustic_radius                                    tot_E                            rel_run_E_err                                rel_E_err                              num_retries                                num_iters 
                                       1                                      485                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0004446413508129E-002                  9.4484869316837482E-003                  2.5875301060024226E+003                  9.2312487908839530E-003                  4.7809319890214702E-001                  3.0792355582716922E+000                  1.3261737998990361E+001                 -1.0867470556747126E-001                  5.3228515575705160E+000                 -1.0465167718420237E-001                  1.3309834935071386E+001                                       12                  7.0570000000000077E-001                  2.7810000000000006E-005                  3.4610000000000029E-005                  2.7690000000000031E-001                  1.0771934046337804E-008                  1.4035817428993968E-088                  0.0000000000000000E+000                  2.9880308009149325E-003                  8.7584490491778098E-004                  8.1317824244995732E-003                  1.8074638875443631E-003                  3.5344472101892736E-003                  7.0601378340126942E-003                  2.7702312119004036E-003                  3.9227297119502808E+001                  2.0121344739948103E+002                  3.2395453801327398E+002                  1.2746226141372683E+004                 -2.9374670247254324E+044                 -3.1269515346984348E-012                  3.1269515346984348E-012                                        0                                       10 
                                      10                                      496                  2.0987428552596954E-004                 -4.3838335109071220E+000                  1.0004446413508129E-002                  9.6395115767475888E-003                  2.5839123465752177E+003                  9.2275767196774647E-003                  4.7933753589156430E-001                  3.0769778116890274E+000                  1.3265231849936415E+001                 -1.0312198172404898E-001                  5.3209962065313539E+000                 -7.7120380382219578E-002                  1.3284728622500371E+001                                       12                  7.0570000000000077E-001                  2.7810000000000006E-005                  3.4610000000000029E-005                  2.7690000000000031E-001                  1.0771934046337804E-008                  2.8348937119653981E-087                  1.0000000000000010E-099                  2.9880308009149325E-003                  8.7584490491778098E-004                  8.1317824244995732E-003                  1.8074638875443631E-003                  3.5344472101892736E-003                  7.0601378340126942E-003                  2.7702312119004036E-003                  3.9071559690774819E+001                  2.0031020367274806E+002                  3.2271953076692972E+002                  1.2797032008887400E+004                 -2.9374670273633269E+044                 -6.4429739245091986E-012                  3.5562044204058018E-013                                        0                                        6 
                                      20                                      495                  1.4970278842737501E-003                 -3.5920210504308741E+000                  1.0004446413508129E-002                  9.8482568827525183E-003                  2.5842035724676480E+003                  9.4316835657477921E-003                  4.8450060830703590E-001                  3.0676720363523247E+000                  1.3275291771028174E+001                 -8.9652915098595895E-002                  5.3178498816329958E+000                 -1.6479862395893365E-002                  1.3229658839892672E+001                                       12                  7.0570000000000077E-001                  2.7810000000000006E-005                  3.4610000000000029E-005                  2.7690000000000031E-001                  1.0771934046337804E-008                  1.8444527108681118E-086                  1.0000000000000010E-099                  2.9880308009149325E-003                  8.7584490491778098E-004                  8.1317824244995732E-003                  1.8074638875443631E-003                  3.5344472101892736E-003                  7.0601378340126942E-003                  2.7702312119004036E-003                  3.8452872691274173E+001                  1.9605269855315419E+002                  3.1568157826239508E+002                  1.3002929690437961E+004                 -2.9374670435391840E+044                 -2.0452693046385085E-011                  4.5743819975694611E-013                                        0                                        8 
                                      30                                      495                  9.4667437028636160E-003                 -2.8002085899546261E+000                  1.0004446413508129E-002                  9.9214519258472751E-003                  2.5915854724943042E+003                  9.6327498004343589E-003                  4.8685230147957448E-001                  3.0634662349255666E+000                  1.3277978687208400E+001                 -8.6523699271121662E-002                  5.3174181599078025E+000                 -3.7914817527330033E-003                  1.3218108942459521E+001                                       12                  7.0570000000000077E-001                  2.7810000000000006E-005                  3.4610000000000029E-005                  2.7690000000000031E-001                  1.0771934046337804E-008                  1.1103700491852742E-085                  1.0000000000000010E-099                  2.9880308009149325E-003                  8.7584490491778098E-004                  8.1317824244995732E-003                  1.8074638875443631E-003                  3.5344472101892736E-003                  7.0601378340126942E-003                  2.7702312119004036E-003                  3.8175195786836802E+001                  1.9388652009963920E+002                  3.1160654954410887E+002                  1.3097509775507297E+004                 -2.9374671367777062E+044                 -3.6013547314640783E-011                  2.9790122381759643E-013                                        0                                        3 
                                      40                                      495                  5.8813123413003883E-002                 -2.0083961294783781E+000                  1.0004446413508129E-002                  9.9285464526525750E-003                  2.5912592619779857E+003                  9.6332019348157934E-003                  4.8698631618493038E-001                  3.0632271733548233E+000                  1.3278141117067433E+001                 -8.6343209957060366E-002                  5.3173996843695370E+000                 -3.0905400480996459E-003                  1.3217470025050222E+001                                       12                  7.0570000000000077E-001                  2.7810000000000006E-005                  3.4610000000000029E-005                  2.7690000000000031E-001                  1.0771934046337804E-008                  6.0709750698965589E-085                  1.0000000000000010E-099                  2.9880308009149325E-003                  8.7584490491778098E-004                  8.1317824244995732E-003                  1.8074638875443631E-003                  3.5344472101892736E-003                  7.0601378340126942E-003                  2.7702312119004036E-003                  3.8161835812002877E+001                  1.9379201974127781E+002                  3.1147351454659355E+002                  1.3102095047606101E+004                 -2.9374677111329658E+044                 -4.5688382970671746E-011                  3.2959277892824665E-013                                        0                                        2 
                                      50                                      495                  3.6435289997785969E-001                 -1.2165836690021299E+000                  1.0004446413508129E-002                  9.9285464492889931E-003                  2.5900019088199201E+003                  9.6090070283309601E-003                  4.8684671962649700E-001                  3.0634761935182646E+000                  1.3278147496159649E+001                 -8.6336435244690868E-002                  5.3173992361980753E+000                 -3.0654265699061752E-003                  1.3217447119334199E+001                                       12                  7.0570000000000077E-001                  2.7809999999999979E-005                  3.4610000000000050E-005                  2.7690000000000031E-001                  1.0771934046337804E-008                  2.0133614619701230E-084                  1.0000000000000010E-099                  2.9880308009149325E-003                  8.7584490491778098E-004                  8.1317824244995732E-003                  1.8074638875443631E-003                  3.5344472101892736E-003                  7.0601378340126942E-003                  2.7702312119004036E-003                  3.8183585436299786E+001                  1.9395023084421194E+002                  3.1182042370401587E+002                  1.3094632007099775E+004                 -2.9374712614813980E+044                 -4.8684597599029399E-011                  2.8225730463611101E-013                                        0                                        2 
                                      60                                      495                  2.2561746630264357E+000                 -4.2477120852588196E-001                  1.0004446413508129E-002                  9.9285464223502658E-003                  2.5852124695357616E+003                  9.5140678963365564E-003                  4.8623229408153185E-001                  3.0645730896815673E+000                  1.3278150917474772E+001                 -8.6334404523203040E-002                  5.3174004141441502E+000                 -3.0643042392891045E-003                  1.3217446021005834E+001                                       12                  7.0570000000000077E-001                  2.7809999999999864E-005                  3.4610000000000219E-005                  2.7690000000000031E-001                  1.0771934046337804E-008                  2.5145953421090041E-084                  1.0000000000000010E-099                  2.9880308009149325E-003                  8.7584490491778098E-004                  8.1317824244995732E-003                  1.8074638875443631E-003                  3.5344472101892736E-003                  7.0601378340126942E-003                  2.7702312119004036E-003                  3.8277105559617510E+001                  1.9462073934551506E+002                  3.1325297905929489E+002                  1.3062638689365840E+004                 -2.9374930897288088E+044                 -5.1684394258515745E-011                  3.1138426824746215E-013                                        0                                        5 
                                      70                                      495                  1.3969836377983277E+001                  3.6704125195036613E-001                  1.0004446413508129E-002                  1.6995801211644060E-003                  2.5736400316437584E+003                  9.2767193521198464E-003                  4.8445647359040239E-001                  3.0677511625149405E+000                  1.3278169372392297E+001                 -8.6323855303162778E-002                  5.3174071262306919E+000                 -3.0613678514886658E-003                  1.3217442921203542E+001                                       12                  7.0570000000000077E-001                  2.7809999999999112E-005                  3.4610000000001378E-005                  2.7690000000000031E-001                  1.0771934046337804E-008                  2.5163076329175690E-084                  1.0000000000000010E-099                  2.9880308009149325E-003                  8.7584490491778098E-004                  8.1317824244995732E-003                  1.8074638875443631E-003                  3.5344472101892736E-003                  7.0601378340126942E-003                  2.7702312119004036E-003                  3.8541310193894063E+001                  1.9649043328959704E+002                  3.1712344707889389E+002                  1.2973092961411905E+004                 -2.9376255813997099E+044                 -5.4987523121306354E-011                  3.1217932840360452E-013                                        0                                        4 
                                      80                                      495                  8.6497742258153991E+001                  1.1588537124266143E+000                  1.0004446413508129E-002                  1.0004446413508129E-002                  2.5725493752303414E+003                  9.2502294904389971E-003                  4.8417457118328883E-001                  3.0682567364957118E+000                  1.3278451998138278E+001                 -8.6113860441469472E-002                  5.3174670515281184E+000                 -2.6432291572336345E-003                  1.3217057341281311E+001                                       12                  7.0570000000000077E-001                  2.7809999999994450E-005                  3.4610000000008385E-005                  2.7690000000000031E-001                  1.0771934046337804E-008                  2.5229417129121584E-084                  1.0000000000000010E-099                  2.9880308009149325E-003                  8.7584490491778098E-004                  8.1317824244995732E-003                  1.8074638875443631E-003                  3.5344472101892736E-003                  7.0601378340126942E-003                  2.7702312119004036E-003                  3.8580361146042186E+001                  1.9676100240068365E+002                  3.1764394943459206E+002                  1.2959961626779461E+004                 -2.9384361694549509E+044                 -2.5292451786985758E-010                  3.0292589476696692E-013                                        0                                        2 
