                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                 "13.1.0"                   "x86_64-macos-23.10.1"                               "20240801"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      476                  1.0000000000000001E-005                 -4.9999999999999991E+000                  3.2443578338605429E-003                  3.0809807198904668E+001                 -9.8999999999999986E+001                  6.1431989819423922E-007                  2.2170095554102609E-001                  3.2833919337525519E-003                  7.0100971379888521E-001                  5.3529020821129580E-001                  2.2170095554102609E-001                  3.2833919337525519E-003                  7.0100971379888521E-001                  5.3529020821129580E-001                 -2.2108715029679463E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2108715029679463E+001                 -2.2108715029679463E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3613739018255506E+000                 -2.1717755024098619E+000                 -2.8537671840340606E-001                  2.5197715385644215E+000                 -1.8228324324266264E-002                  4.9561920723607269E+000                 -4.2042603579623022E-001                  1.2505892881848871E+001                 -4.2042603579623022E-001                  4.9561920723607269E+000                  1.0712546322806382E+000                  8.5500478890566545E-001                  1.2841559186513674E+000                  7.1000000000000008E-001                  2.6997126656600789E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742141E-003                  2.3034940620409870E-003                  8.7588339360068106E-004                                        0                                        0                                        6 
                                      10                                      474                  2.5958682111999992E-004                 -4.2873687855713767E+000                  3.2443578338605429E-003                  3.0809807198904668E+001                 -9.8999999999999986E+001                  1.2730165978085920E-007                  5.5383635823591892E-001                  2.4476497102264899E-001                  8.2575123617973933E-001                  5.7323397600501536E-001                  5.5383635823591892E-001                  2.4476497102264899E-001                  8.2575123617973933E-001                  5.7323397600501536E-001                 -2.2108663875813455E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2108663875813455E+001                 -2.2108663875813455E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3515043896599059E+000                 -2.2117439968570629E+000                 -2.8562194129571594E-001                  2.5202619843490415E+000                 -5.6215889676247228E-003                  4.9561743420201330E+000                 -4.2006752941539494E-001                  1.2506235540916856E+001                 -4.2006752941539494E-001                  4.9561743420201330E+000                  1.0712088975500278E+000                  8.5500478890566545E-001                  1.2841559186513674E+000                  7.1000000000000008E-001                  2.6997126656600789E-001                  3.4416073257059880E-003                  9.3604492797742141E-003                  3.4416073257059880E-003                  9.3604492797742141E-003                  2.3034940620409870E-003                  8.7588339360068106E-004                                        0                                        0                                        7 
                                      20                                      474                  5.0980033867723559E-004                 -4.6361900502299465E+000                  3.2443578338605429E-003                  3.0809807198904668E+001                 -9.8999999999999986E+001                  7.9985152473519439E-004                  2.4476497087202836E-001                  9.2121072115751583E-008                  5.4692567265110881E-001                  4.1169729340023414E-001                  2.4476497087202836E-001                  9.2121072115751583E-008                  5.4692567265110881E-001                  4.1169729340023414E-001                 -2.2108642619623762E+001                 -9.8999999999999986E+001                 -3.7628749457997642E+001                 -2.2108642619623762E+001                 -2.2108642619623762E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3464537269584587E+000                 -2.2321717113027977E+000                 -2.8573447311568911E-001                  2.5204870479889876E+000                 -2.9011356679918381E-003                  4.9555367555846015E+000                 -4.1889644229218698E-001                  1.2506629960314061E+001                 -4.1889644229218698E-001                  4.9555367555846015E+000                  1.0714113566958696E+000                  8.5500478890566545E-001                  1.2841559186513674E+000                  7.1000000000000008E-001                  2.6997126656600789E-001                  3.4416073257059880E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742141E-003                  2.3034940620409870E-003                  8.7588339360068117E-004                                        3                                        1                                        6 
                                      30                                      475                  1.1820049859805443E-003                 -4.0204688488093794E+000                  3.2443578338605429E-003                  3.0809807198904668E+001                 -9.8999999999999986E+001                  1.5637866578529888E-005                  8.3740294809152649E-001                  4.7463499423366245E-001                  3.9007878588066464E-001                  1.1282876457992862E-001                  8.3740294809152649E-001                  4.7463499423366245E-001                  3.9007878588066464E-001                  1.1282876457992862E-001                 -2.2108488154435612E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2108488154435612E+001                 -2.2108488154435612E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3391931429615500E+000                 -2.2613340598808200E+000                 -2.8579447941088282E-001                  2.5206070605793749E+000                 -3.8681093203293078E-004                  4.9553483926518256E+000                 -4.1787042510974270E-001                  1.2507439045589273E+001                 -4.1787042510974270E-001                  4.9553483926518256E+000                  1.0713606201354013E+000                  8.5500478890566545E-001                  1.2841559186513674E+000                  7.1000000000000019E-001                  2.6997126656600789E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059880E-003                  9.3604492797742123E-003                  2.3034940620409870E-003                  8.7588339360068117E-004                                        3                                        1                                        7 
                                      40                                      475                  3.2102086394757826E-003                 -3.5808389064444937E+000                  3.2443578338605429E-003                  3.0809807198904668E+001                 -9.8999999999999986E+001                  3.1445609958730424E-005                  4.8821569726546182E-001                  1.6886841575002307E-001                  8.6817278373483875E-001                  5.5724181140553752E-001                  4.8821569726546182E-001                  1.6886841575002307E-001                  8.6817278373483875E-001                  5.5724181140553752E-001                 -2.2108225092380071E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2108225092380071E+001                 -2.2108225092380071E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3337879211581227E+000                 -2.2824576570177784E+000                 -2.8554583437250797E-001                  2.5201097705026254E+000                  1.5452333950797972E-003                  4.9544172015221681E+000                 -4.1592724345858784E-001                  1.2508253927205924E+001                 -4.1592724345858784E-001                  4.9544172015221681E+000                  1.0716039955240297E+000                  8.5500478890566545E-001                  1.2841559186513671E+000                  7.0999999999999996E-001                  2.6997126656600789E-001                  3.4416073257059880E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742141E-003                  2.3034940620409875E-003                  8.7588339360068106E-004                                        3                                        1                                       10 
                                      50                                      475                  5.8607096985368650E-003                 -3.4741111886923273E+000                  3.2443578338605429E-003                  3.0809807198904668E+001                 -9.8999999999999986E+001                  1.5876459879365123E-003                  4.8821569726546071E-001                  9.2121068740906221E-008                  9.9999998533940604E-001                  9.8783433849395497E-001                  4.8821569726546071E-001                  9.2121068740906221E-008                  9.9999998533940604E-001                  9.8783433849395497E-001                 -2.2107985138006345E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2107985138006345E+001                 -2.2107985138006345E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3351016192667609E+000                 -2.2762984764601240E+000                 -2.8509364031095691E-001                  2.5192053823795235E+000                  1.5311055974867298E-003                  4.9540651721012052E+000                 -4.1474914752644476E-001                  1.2509014394920047E+001                 -4.1474914752644476E-001                  4.9540651721012052E+000                  1.0716194448440199E+000                  8.5500478890566545E-001                  1.2841559186513674E+000                  7.1000000000000008E-001                  2.6997126656600789E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059880E-003                  9.3604492797742141E-003                  2.3034940620409870E-003                  8.7588339360068117E-004                                        4                                        1                                       13 
                                      60                                      475                  9.9695501276267848E-003                 -3.2883625772794529E+000                  3.2443578338605429E-003                  3.0809807198904668E+001                 -9.8999999999999986E+001                  6.8456461730702215E-004                  8.8558644129868869E-001                  2.8397036419827831E-001                  2.0578487415971031E-001                  9.2121067607509010E-008                  8.8558644129868869E-001                  2.8397036419827831E-001                  2.0578487415971031E-001                  9.2121067607509010E-008                 -2.2107584464784036E+001                 -9.8999999999999986E+001                 -3.7628749457997642E+001                 -2.2107584464784036E+001                 -2.2107584464784036E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3360924293642857E+000                 -2.2714619297118035E+000                 -2.8465698713184662E-001                  2.5183320760213026E+000                  8.2961561116119166E-004                  4.9539827890327945E+000                 -4.1377542928797656E-001                  1.2509903993844805E+001                 -4.1377542928797656E-001                  4.9539827890327945E+000                  1.0715066589705990E+000                  8.5500478890566556E-001                  1.2841559186513674E+000                  7.1000000000000008E-001                  2.6997126656600789E-001                  3.4416073257059880E-003                  9.3604492797742141E-003                  3.4416073257059880E-003                  9.3604492797742141E-003                  2.3034940620409875E-003                  8.7588339360068117E-004                                        5                                        1                                        9 
                                      70                                      475                  1.8173548426147851E-002                 -3.1344720605964387E+000                  3.2443578338605429E-003                  3.0809807198904668E+001                 -9.8999999999999986E+001                  1.8507563147868145E-004                  9.0084837804867712E-001                  8.8898474324014751E-002                  5.1691878536912650E-002                  9.2121066472356800E-008                  9.0084837804867712E-001                  8.8898474324014751E-002                  5.1691878536912650E-002                  9.2121066472356800E-008                 -2.2107163218894296E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2107163218894296E+001                 -2.2107163218894296E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3364575238717586E+000                 -2.2693199884680859E+000                 -2.8431620552493314E-001                  2.5176505128074758E+000                  3.2071911809611537E-004                  4.9536250760962073E+000                 -4.1226089724816184E-001                  1.2511001289917107E+001                 -4.1226089724816184E-001                  4.9536250760962073E+000                  1.0714648199515497E+000                  8.5500478890566523E-001                  1.2841559186513674E+000                  7.1000000000000008E-001                  2.6997126656600789E-001                  3.4416073257059880E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742158E-003                  2.3034940620409875E-003                  8.7588339360068117E-004                                        5                                        1                                        6 
                                      80                                      476                  3.3842221932044239E-002                 -2.5729464321597759E+000                  3.2443578338605429E-003                  3.0809807198904668E+001                 -9.8999999999999986E+001                  7.3706499716540358E-004                  9.1103322861455571E-001                  2.7693645666878591E-001                  2.2170095554101749E-001                  9.2121065335376666E-008                  9.1103322861455571E-001                  2.7693645666878591E-001                  2.2170095554101749E-001                  9.2121065335376666E-008                 -2.2106611235126202E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2106611235126202E+001                 -2.2106611235126202E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3364664824034409E+000                 -2.2685150072435780E+000                 -2.8393163197604421E-001                  2.5168813657096978E+000                  7.2835179084117168E-005                  4.9536830223641397E+000                 -4.1130536855691369E-001                  1.2512048308632298E+001                 -4.1130536855691369E-001                  4.9536830223641397E+000                  1.0712700725719959E+000                  8.5500478890566545E-001                  1.2841559186513671E+000                  7.1000000000000008E-001                  2.6997126656600789E-001                  3.4416073257059880E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742158E-003                  2.3034940620409870E-003                  8.7588339360068117E-004                                        5                                        1                                       12 
