                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                 "13.1.0"                   "x86_64-macos-23.10.1"                                 "CRMATH"                               "20240729"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                           mass_conv_core                                     Teff                               luminosity                                   radius                                    log_g                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                           center_entropy                               average_h1                              average_he3                              average_he4                              average_c12                              average_n14                              average_o16                             average_ne20                             average_mg24                            total_mass_h1                           total_mass_he4                                    tot_E                            rel_run_E_err                                rel_E_err                              num_retries                                num_iters 
                                      77                                      486                  5.7911217841186797E+001                  8.9824334329489497E-001                  4.5869850879771438E-003                  4.5869850390174117E-003                  1.9365853015529290E+003                  5.3932382862534550E-004                  2.0630260065521852E-001                  3.4705855501038938E+000                  1.3849910346010276E+001                  4.9570038548558681E-001                  5.2279556724420049E+000                  3.0288682154397382E+000                  1.0875399815258099E+001                  7.1000000000000041E-001                  2.8733433992169395E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -1.6339536482388567E+044                 -2.6426299556792548E-013                  2.6426299556792548E-013                                        0                                        2 
                                      80                                      486                  9.2467417371490725E+001                  1.1357870814377693E+000                  4.5869850879771438E-003                  4.5869850390162338E-003                  1.9365683679906510E+003                  5.3929190827944613E-004                  2.0630010323951709E-001                  3.4705960649536314E+000                  1.3849927235819919E+001                  4.9571304928594140E-001                  5.2279566436929068E+000                  3.0289372018193177E+000                  1.0875362109166645E+001                  7.1000000000000041E-001                  2.8733433992169395E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -1.6339761612823274E+044                 -1.0004277307159017E-012                  2.5068272714412753E-013                                        0                                        2 
                                      90                                      486                  5.1831184396247249E+002                  1.9275995419140175E+000                  4.5869850879771438E-003                  4.5869850390017515E-003                  1.9363598045457522E+003                  5.3889889075450022E-004                  2.0626934426983731E-001                  3.4707255796417047E+000                  1.3850135276749885E+001                  4.9586903596681187E-001                  5.2279686022626910E+000                  3.0297870676668066E+000                  1.0874897638845164E+001                  7.1000000000000041E-001                  2.8733433992169395E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -1.6342534757291368E+044                 -3.4654520923684203E-012                  2.5427616863529348E-013                                        0                                        2 
                                     100                                      486                  3.1550282903618968E+003                  2.7194120023902655E+000                  4.5869850879771438E-003                  4.5869850389132069E-003                  1.9350731285351023E+003                  5.3647960676154083E-004                  2.0607960131111963E-001                  3.4715249446130501E+000                  1.3851419461882653E+001                  4.9683189468396616E-001                  5.2280422204900390E+000                  3.0350381306787826E+000                  1.0872029595384531E+001                  7.1000000000000041E-001                  2.8733433992169395E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -1.6359656428039339E+044                 -5.9153588908618774E-012                  2.3693882986239092E-013                                        0                                        2 
                                     110                                      486                  1.9480881547074303E+004                  3.5112244628665139E+000                  4.5869850879771438E-003                  4.5869850384120704E-003                  1.9272969249790465E+003                  5.2203995521788880E-004                  2.0493105496684774E-001                  3.4763794040320106E+000                  1.3859223377005046E+001                  5.0268280031467993E-001                  5.2284821628877403E+000                  3.0671363769119910E+000                  1.0854564074537322E+001                  7.1000000000000041E-001                  2.8733433992169395E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -1.6463844339525290E+044                 -8.8903943585996032E-012                  5.3247564793582832E-013                                        0                                        2 
                                     120                                      486                  1.2056626178341814E+005                  4.3030369233427619E+000                  4.5869850879771438E-003                  4.5869850375844078E-003                  1.8869334347202025E+003                  4.5073765900336711E-004                  1.9865610840367265E-001                  3.5033911084549674E+000                  1.3902753045686277E+001                  5.3530506073996231E-001                  5.2306912934919927E+000                  3.2523018110819475E+000                  1.0755981594628082E+001                  7.1000000000000041E-001                  2.8733433992169395E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -1.7049750475373827E+044                 -1.9893181633912809E-011                  2.6405901607626658E-013                                        0                                        3 
                                     130                                      486                  7.4646029236494121E+005                  5.0948493838190094E+000                  4.5869850879771438E-003                  4.5869850437353990E-003                  1.7405748309420683E+003                  2.5553377955127640E-004                  1.7578909149963606E-001                  3.6096111122584098E+000                  1.4077547358496448E+001                  6.6630317625757896E-001                  5.2338008716664035E+000                  4.1316002438201194E+000                  1.0335602654750895E+001                  7.1000000000000041E-001                  2.8733433992169395E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -1.9504081072631848E+044                 -1.9670369089746681E-011                  2.5144600462692777E-013                                        0                                        3 
                                     140                                      483                  3.6517262998414850E+006                  5.5091802215840113E+000                  4.5869850879771438E-003                  4.5869849815437617E-003                  1.3884093319138062E+003                  7.2309249713568632E-005                  1.4696537949984759E-001                  3.7651648746869113E+000                  1.4351717079426614E+001                  8.7380022026844317E-001                  5.2061252942788130E+000                  6.3288387664377428E+000                  9.5600912837006593E+000                  7.1000000000000041E-001                  2.8733433992169395E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -2.3957569617489066E+044                 -1.8727571735268519E-011                  2.3430236888627879E-013                                        0                                        3 
                                     150                                      488                  7.7272696103142193E+006                  5.7042397019523348E+000                  4.5869850879771438E-003                  4.5869848001152819E-003                  1.0896355562655940E+003                  2.4293980686387074E-005                  1.3830566494091162E-001                  3.8179150175913081E+000                  1.4452142563804802E+001                  9.5088697768649366E-001                  5.1785357541406176E+000                  7.6492533413195494E+000                  9.2239249717098684E+000                  7.1000000000000041E-001                  2.8733433992169395E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -2.5887437032830730E+044                 -1.9494919139948738E-011                  2.1637642547057450E-013                                        0                                        4 
